"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"FIN-001";"Швидкий удар після зміщення підошвою";"finishing";"technical";"without_opposition";"4";"16";"9";"easy";"medium";"small";"Базова футзальна вправа на створення короткого коридору для удару після зміщення м’яча підошвою. Гравець виконує мінімальну підготовчу дію та завершує без великого замаху.";"Гравці працюють у двох колонах за 8–10 м від воріт. Перший отримує передачу від партнера, фіксує м’яч підошвою, зміщує на 30–50 см праворуч або ліворуч від фішки та одразу б’є. Після удару переходить на позицію пасуючого.";"Ворота, м’ячі, 2–4 фішки";"Перший дотик короткий; опорна нога близько до м’яча; корпус над м’ячем; удар виконується без зайвого замаху; працювати двома ногами; дивитися на позицію воротаря перед завершенням.";"М’яч зміщується надто далеко; гравець робить додаткові дотики; великий замах видає намір; удар іде по центру без оцінки воротаря; робота лише провідною ногою.";"Додати пасивного захисника, який закриває одну сторону, або дати воротарю право активно скорочувати кут після прийому.";"Виконувати без воротаря, збільшити дистанцію між фішкою та м’ячем і дозволити два підготовчі дотики.";"Після зміщення виконувати удар носком, внутрішньою стороною або низом у дальній кут за сигналом тренера.";"2 серії по 8 ударів кожною ногою, 60 секунд між серіями; інтенсивність 50–65%.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"finishing|shooting|ball_control";"підошва|швидкий удар|дві ноги|короткий замах|завершення";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-002";"Прийом у півоберт і удар у дальній кут";"finishing";"technical";"without_opposition";"5";"15";"10";"medium";"medium";"small";"Вправа на орієнтований прийом між лініями та швидке завершення другим або третім дотиком. Гравець відкриває корпус, виводить м’яч із лінії умовного захисника й атакує дальній кут.";"Сервер передає м’яч гравцю, який відкривається за манекеном на 9–11 м від воріт. Отримувач приймає дальньою ногою у півоберт, виходить із тіні манекена та завершує. Після удару гравці змінюють позиції.";"Ворота, м’ячі, 1–2 манекени або високі фішки";"Сканувати ворота до прийому; відкривати таз; перший дотик спрямовувати від тиску; не втрачати швидкість перед ударом; обирати дальній або ближній кут за позицією воротаря.";"Прийом під себе; закритий корпус; гравець дивиться на м’яч до самого удару; занадто довгий перший дотик; завершення з незручної опорної ноги.";"Додати пасивного захисника за спиною або обмежити завершення двома дотиками.";"Прибрати манекен, дозволити три-чотири дотики та починати з коротшої передачі.";"Приймати підошвою, розвертатися через зовнішній бік і завершувати ударом носком.";"3 блоки по 5 ударів із кожного боку, 45 секунд паузи; інтенсивність 55–70%.";"U11–U12|U13–U14|U15–U17|Дорослі";"finishing|shooting|ball_control|decision_making";"півоберт|перший дотик|дальній кут|між лініями|удар";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-003";"Стіна та завершення з другого темпу";"finishing";"complex";"without_opposition";"6";"18";"11";"medium";"high";"medium";"Комбінаційна вправа на гру у стінку й завершення після прискорення з другого темпу. Гравець повинен синхронізувати передачу, ривок за спину та удар у русі.";"A передає центральному B, робить ривок навколо манекена й отримує скидку в коридор. Після першого дотику A завершує у ворота. C подає наступний м’яч із протилежного боку. Ротація: A → B → C.";"Ворота, м’ячі, 2 манекени, 4 фішки";"Перша передача точна в ногу; ривок починається після пасу; скидка йде в темп; останній дотик готує удар, а не зупиняє атаку; завершувати до скорочення кута воротарем.";"Ривок надто ранній; скидка назад у ноги; гравець зближується з партнером; зайвий дотик перед ударом; завершення без піднятої голови.";"Додати захисника, який переслідує гравця після стінки, або вимагати завершення в один дотик.";"Прибрати манекен і воротаря, дозволити два підготовчі дотики.";"Виконувати подвійну стінку через двох партнерів і завершувати з протилежного флангу.";"2 серії по 6 атак із кожного боку, 60 секунд відпочинку; інтенсивність 70–80%.";"U11–U12|U13–U14|U15–U17|Дорослі";"finishing|passing|decision_making";"стінка|другий темп|ривок|скидка|удар у русі";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-004";"Півот: скидка під удар партнера";"finishing";"tactical";"without_opposition";"6";"16";"12";"hard";"medium";"medium";"Модель завершення через півота. Центральний гравець фіксує м’яч спиною до воріт і скидає його під удар партнеру, який входить із глибини в оптимальному темпі.";"Півот розташовується за 7–9 м від воріт. Фланговий гравець передає в півота й робить діагональний рух усередину. Півот скидає м’яч під удар. Після завершення фланговий стає півотом, а півот переходить у кінець колони.";"Ворота, м’ячі, 4–6 фішок";"Передача в дальню ногу півота; півот захищає м’яч корпусом; скидка коротка й у темп; гравець із глибини не забігає рано; удар виконується без зупинки м’яча.";"Півот стоїть на одній лінії з пасуючим; скидка надто сильна; гравець входить до передачі; удар виконується з-під опорної ноги; відсутня комунікація.";"Додати пасивного захисника півота або активного захисника, який намагається блокувати удар.";"Півот працює без контакту, скидка виконується після зупинки м’яча, воротар пасивний.";"Півот робить хибну скидку й розвертається для власного завершення.";"3 блоки по 5 завершень із кожного флангу, 60 секунд паузи; інтенсивність 55–70%.";"U13–U14|U15–U17|Дорослі";"finishing|shooting|positional_attack|decision_making";"півот|скидка|удар з другого темпу|позиційна атака|взаємодія";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-005";"Передача на дальню стійку та замикання";"finishing";"tactical";"without_opposition";"6";"18";"11";"medium";"high";"medium";"Специфічна футзальна вправа на простріл або передачу вздовж воріт і своєчасне замикання дальньої стійки. Акцент робиться на таймінгу руху та безпечному контакті з м’ячем.";"Гравець із м’ячем стартує на фланзі, наближається до лицьової лінії та передає низом уздовж воріт. Партнер із протилежного флангу входить на дальню стійку й завершує в один дотик. Після атаки гравці змінюють сторони.";"Ворота, м’ячі, 6 фішок";"Пасуючий піднімає голову; м’яч іде поза зоною воротаря; партнер не забігає на дальню стійку рано; завершення виконується внутрішньою стороною або підошвою; рух продовжується крізь лінію м’яча.";"Передача занадто близько до воротаря; партнер стоїть на стійці завчасно; м’яч підстрибує; завершення сильною ногою в незручній позиції; відсутній контакт із дальньою ногою.";"Додати захисника, який контролює дальню стійку, або дозволити пасуючому обирати простріл назад під другий темп.";"Працювати без воротаря й захисника, скоротити швидкість наближення до лицьової лінії.";"Замість передачі вздовж воріт виконувати скидку назад гравцю, який входить у центральну зону.";"2 серії по 8 атак із кожного боку, 60 секунд відпочинку; інтенсивність 65–80%.";"U11–U12|U13–U14|U15–U17|Дорослі";"finishing|passing|decision_making";"дальня стійка|простріл|замикання|один дотик|таймінг";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-006";"1v1 спиною до воріт: розворот або стінка";"finishing";"complex";"1v1";"6";"14";"12";"hard";"high";"small";"Ситуаційна вправа для нападника, який приймає м’яч спиною до воріт під активним тиском. Він обирає між розворотом, захистом м’яча та короткою стінкою з опорним гравцем.";"Нападник і захисник розташовані за 8–10 м від воріт. Сервер передає нападнику, після чого починається активне 1v1 до 7 секунд. Сервер може бути нейтральним партнером для однієї стінки. Після епізоду ролі змінюються.";"Ворота, м’ячі, манішки, 4 фішки";"Прийом підошвою; відчувати позицію захисника; захищати м’яч корпусом; не форсувати розворот; після стінки атакувати простір першим дотиком; завершувати швидко.";"Нападник приймає м’яч на прямих ногах; не сканує до передачі; розвертається в захисника; грає стінку без подальшого руху; затягує завершення.";"Скоротити час до 5 секунд або дозволити захиснику контратакувати після відбору.";"Захисник діє пасивно, нападник має два дозволені напрямки й необмежений час.";"Замість стінки нападник може скинути м’яч під удар третьому гравцю.";"8–10 епізодів по 7 секунд, 35–45 секунд відновлення; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"finishing|ball_control|decision_making";"1v1|спиною до воріт|розворот|стінка|півот";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-007";"2v1: зафіксувати захисника та завершити";"finishing";"tactical";"2v1";"5";"15";"12";"medium";"high";"medium";"Вправа на завершення чисельної переваги 2v1. Володар м’яча повинен змусити захисника прийняти рішення, а партнер — зберегти правильну ширину й таймінг для передачі або підбору.";"Двоє атакувальних стартують із середньої лінії проти одного захисника та воротаря. Атака має 7 секунд на завершення. Після епізоду один атакувальний стає захисником, а наступна пара починає з іншого боку.";"Ворота, м’ячі, манішки, 4–6 фішок";"Володар м’яча веде на захисника; партнер тримає ширину й не випереджає м’яч; передача виконується після фіксації; бути готовим завершити самостійно; атакувати підбір після удару.";"Передача занадто рання; партнери біжать на одній лінії; володар м’яча уникає захисника без фіксації; зайвий пас біля воріт; відсутність підбору.";"Скоротити час до 5 секунд або додати захисника, який повертається ззаду.";"Збільшити ширину поля, дати атакувальним перевагу в старті або зробити захисника пасивним.";"Завершувати атаку через двоє малих воріт без воротаря, оцінюючи правильність рішення.";"2 серії по 8 атак, 60–90 секунд між серіями; інтенсивність 80–90%.";"U11–U12|U13–U14|U15–U17|Дорослі";"finishing|attacking_transition|decision_making|passing";"2v1|чисельна перевага|фіксація захисника|швидка атака|завершення";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-008";"3v2: завершення швидкої атаки за 8 секунд";"finishing";"complex";"3v2";"7";"16";"14";"hard";"high";"large";"Перехідна вправа на швидке завершення переваги 3v2. Атакувальні повинні створити ширину, просунути м’яч уперед і завершити до відновлення захисної структури.";"Троє атакувальних стартують із м’ячем від середньої лінії проти двох захисників і воротаря. На атаку відводиться 8 секунд. Після удару або відбору епізод завершується, а нова група стартує з протилежного боку.";"Ворота, м’ячі, манішки, фішки";"Перший дотик уперед; фланги рухаються на різних висотах; м’яч передається після фіксації захисника; центральний гравець готовий до удару й скидки; остання дія має бути максимально простою.";"Атака виконує забагато поперечних пасів; фланги звужуються; гравці чекають ідеальної позиції; передача йде за спину; відсутній гравець на дальній стійці.";"Дозволити третьому захиснику повертатися ззаду або скоротити час до 6 секунд.";"Збільшити ширину, зменшити активність захисників або дозволити 10 секунд.";"Після завершення захисники одразу контратакують 2v1 у протилежні малі ворота.";"2 серії по 6–8 атак, 90 секунд між серіями; інтенсивність 80–95%.";"U13–U14|U15–U17|Дорослі";"finishing|attacking_transition|decision_making|passing";"3v2|швидка атака|8 секунд|дальня стійка|перехід";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-009";"3v3 плюс півот: завершення після третього гравця";"finishing";"tactical";"3v3";"7";"15";"15";"advanced";"high";"large";"Позиційна гра на створення удару через півота та третього гравця. Команда повинна використати скидку, забігання або зміну флангу, щоб завершити атаку до повного відновлення захисту.";"Грати 3v3 на половині майданчика з нейтральним півотом у верхній зоні. Півот грає за команду з м’ячем максимум у два дотики. Гол після скидки півота або передачі третьому гравцю рахується подвійно.";"Ворота, м’ячі, манішки, 6 фішок";"Півот відкривається між захисниками; партнери не стоять після передачі; скидка виконується в темп; дальній гравець атакує зону підбору; завершувати після першого відкритого коридору.";"Усі шукають прямий пас у півота; немає руху третього гравця; скидка назад без загрози; фланги звужуються; команда затягує удар.";"Обмежити атакувальних двома дотиками або дозволити півоту завершувати після розвороту.";"Захисники працюють у контрольованому темпі, півот має три дотики, поле збільшується.";"Грати з двома нейтральними півотами на різних висотах і дозволяти завершення через будь-якого.";"4 раунди по 3 хвилини, 90 секунд паузи; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"finishing|positional_attack|decision_making|passing";"3v3|півот|третій гравець|позиційна атака|скидка";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
"FIN-010";"Гра 4v4: гол після передачі між лініями";"finishing";"game";"4v4";"8";"16";"16";"advanced";"high";"large";"Мала гра, що поєднує створення моменту та завершення. Гол зараховується з бонусом, якщо перед ударом команда виконала передачу між лініями або розрізну дію в центральний коридор.";"Грати 4v4 із воротарями на площі 28×18 м. Позначити центральний коридор шириною 6 м. Звичайний гол — 1 очко, гол після контрольованої передачі між лініями та удару протягом 5 секунд — 2 очки.";"Двоє воріт, м’ячі, манішки, 8 фішок";"Створювати ширину до вертикальної передачі; отримувач приймає в півоберт; партнери одразу підтримують завершення; не шукати складну комбінацію, коли відкритий удар; атакувати підбір.";"Команда форсує пас у закритий центр; після вертикальної передачі немає руху; гравець робить зайві дотики; фланги не створюють ширину; після удару всі зупиняються.";"Обмежити двома дотиками в атакувальній третині або нараховувати подвійний бонус за завершення в один дотик.";"Збільшити поле, дозволити необмежені дотики або використовувати нейтрального гравця між лініями.";"Замість центрального коридору використовувати дві напівзони, з яких потрібно виконати останню передачу.";"4 раунди по 3 хвилини, 90 секунд відпочинку; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"finishing|positional_attack|decision_making|passing";"4v4|між лініями|розрізна передача|удар|ігрове завершення";"";"active";"core";"Futsal Exercise Library — Finishing Content Pack v1.0"
