exercise_code,exercise_title,asset_type,import_filename,width,height,status
TECH-001,Матриця підошви: перекати та зміна напрямку,diagram,TECH-001-diagram.png,1586,992,ready_for_media_batch_import
TECH-002,Вісімка з м’ячем обома ногами,diagram,TECH-002-diagram.png,1586,992,ready_for_media_batch_import
TECH-003,Перший дотик через кольорові ворота,diagram,TECH-003-diagram.png,1586,992,ready_for_media_batch_import
TECH-004,Прийом підошвою та пас у дальню ногу,diagram,TECH-004-diagram.png,1586,992,ready_for_media_batch_import
TECH-005,Квадрат передач із перевіркою плеча,diagram,TECH-005-diagram.png,1586,992,ready_for_media_batch_import
TECH-006,Стіна з виходом під новий кут,diagram,TECH-006-diagram.png,1586,992,ready_for_media_batch_import
TECH-007,Ромб: прийом між лініями та розворот,diagram,TECH-007-diagram.png,1536,1024,ready_for_media_batch_import
TECH-008,Коридор фінтів: обманний рух і вибух,diagram,TECH-008-diagram.png,1536,1024,ready_for_media_batch_import
TECH-009,1v1 у каналі: захист м’яча та вихід,diagram,TECH-009-diagram.png,1536,1024,ready_for_media_batch_import
TECH-010,1v1 спиною до воріт: розворот і завершення,diagram,TECH-010-diagram.png,1536,1024,ready_for_media_batch_import
TECH-011,2v1: перший дотик створює лінію пасу,diagram,TECH-011-diagram.png,1536,1024,ready_for_media_batch_import
TECH-012,Рондо 4v2: пауза підошвою та зміна ритму,diagram,TECH-012-diagram.png,1536,1024,ready_for_media_batch_import
TECH-013,Контроль складної передачі та швидкий пас,diagram,TECH-013-diagram.png,1536,1024,ready_for_media_batch_import
TECH-014,Зміщення підошвою та удар носком,diagram,TECH-014-diagram.png,1536,1024,ready_for_media_batch_import
TECH-015,Технічна гра 3v3 через ворота першого дотику,diagram,TECH-015-diagram.png,1536,1024,ready_for_media_batch_import
