"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"SET-001";"Аут: коротка стінка та вихід уздовж лінії";"set_pieces";"tactical";"without_opposition";"6";"16";"10";"medium";"medium";"small";"Базовий розіграш аута через коротку стінку з подальшим виходом уздовж бокової лінії. Комбінація навчає швидко вводити м’яч, створювати кут підтримки та не потрапляти у флангову пастку.";"Гравець A вводить м’яч із бокової лінії в ноги B. B у один або два дотики повертає м’яч у хід A, який проходить уздовж лінії та передає в центр або на дальню стійку. Третій гравець C відкривається нижче як страховка. Після розіграшу ролі змінюються.";"М’ячі, 6 фішок, 1 манекен або висока фішка";"Введення точне й без затримки; B відкривається під кутом; A стартує після передачі; C не стоїть на одній лінії; після стінки м’яч одразу просувається вперед.";"B стоїть занадто близько до лінії; A починає рух до передачі; повернення йде під опорну ногу; страховка відсутня; комбінація виконується без сканування центру.";"Додати пасивного захисника, який може закрити повернення вздовж лінії.";"Прибрати манекен і виконувати стінку в повільному темпі без завершальної передачі.";"B не повертає м’яч A, а розвертається всередину й грає через C.";"3 блоки по 5 розіграшів із кожного флангу, 45 секунд паузи; інтенсивність 45–60%.";"U11–U12|U13–U14|U15–U17|Дорослі";"set_pieces|kick_ins|passing|decision_making";"аут|стінка|бокова лінія|введення м’яча|страхування";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-002";"Аут: хибний рух і передача в центральний коридор";"set_pieces";"tactical";"without_opposition";"7";"16";"11";"hard";"medium";"medium";"Розіграш аута з відволікаючим рухом ближнього партнера та передачею в центральний коридор третьому гравцю. Комбінація створює вільний простір усередині та змінює напрямок атаки.";"B робить короткий ривок до м’яча й відтягує умовного захисника, але не отримує передачу. A вводить м’яч у C, який відкривається з центру в півоберт. Після прийому C може передати на протилежний фланг або зіграти в півота. B після хибного руху атакує дальню зону.";"М’ячі, 6–8 фішок, 2 манекени";"Хибний рух має бути переконливим; C стартує в останній момент; передача йде в дальню ногу; B не зупиняється після відволікання; A бачить обидва варіанти до введення.";"C відкривається занадто рано; хибний рух виконується повільно; передача йде в ближню ногу; B залишається біля м’яча; команда не продовжує атаку після першого пасу.";"Додати двох активних захисників і дозволити A обирати між коротким та центральним варіантом.";"Працювати без захисників і з фіксованим напрямком продовження атаки.";"Після прийому C скидає м’яч назад A, а B отримує діагональ за спину.";"3 серії по 6 розіграшів, 60 секунд відпочинку; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"set_pieces|kick_ins|positional_attack|decision_making";"аут|хибний рух|центральний коридор|третій гравець|діагональ";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-003";"Аут у фінальній третині: простріл на дальню стійку";"set_pieces";"complex";"without_opposition";"7";"16";"12";"hard";"high";"medium";"Розіграш аута у фінальній третині з метою створити простріл уздовж воріт і замикання дальньої стійки. Вправа акцентує таймінг руху та безпечну передачу поза зоною воротаря.";"A вводить м’яч у B, який відкривається до бокової лінії. B першим дотиком спрямовує м’яч уперед і виконує передачу вздовж воріт. C стартує з дальньої зони й замикає в один дотик, D входить під передачу назад. Після завершення гравці ротуються.";"Ворота, м’ячі, 6 фішок, 1–2 манекени";"A вводить м’яч у темп; B піднімає голову до прострілу; C не забігає зарано; м’яч іде поза досяжністю воротаря; D контролює підбір і передачу назад.";"Простріл іде близько до воротаря; C стоїть на дальній стійці завчасно; B робить зайвий дотик; D не підтримує атаку; завершення виконується без контролю корпусу.";"Додати захисника, який контролює дальню стійку, або дозволити B обирати між прострілом і передачею назад.";"Працювати без воротаря та захисника, зменшити швидкість виконання.";"Після короткого пасу B повертає м’яч A, який виконує діагональ на дальню стійку.";"2 серії по 8 розіграшів із кожного флангу, 75 секунд паузи; інтенсивність 65–80%.";"U13–U14|U15–U17|Дорослі";"set_pieces|kick_ins|finishing|passing";"аут|фінальна третина|дальня стійка|простріл|замикання";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-004";"Кутовий: блок на ближній стійці та скидка назад";"set_pieces";"tactical";"without_opposition";"7";"16";"12";"hard";"medium";"medium";"Кутовий із відволіканням на ближній стійці та передачею назад під удар гравцю другого темпу. Комбінація створює вільний центральний коридор через блокувальний рух без порушення правил.";"A виконує кутовий. B робить ривок на ближню стійку й закриває лінію руху умовного захисника, не вступаючи в контакт. C відходить від воріт у центральну зону й отримує передачу назад під удар. D атакує дальню стійку та підбір.";"Ворота, м’ячі, 4–6 фішок, 2 манекени";"B рухається без поштовху; C відходить у момент введення; передача назад точна й низом; D не заходить у зону удару; удар виконується без зайвої підготовки.";"B створює фол; C стоїть у точці удару завчасно; A передає надто сильно; D перекриває траєкторію; після удару немає підбору.";"Додати двох активних захисників або дозволити A обрати короткий варіант із B.";"Працювати без захисту та воротаря, з фіксованим ударом у дальній кут.";"C замість удару переводить м’яч на дальню стійку D.";"3 серії по 5 кутових із кожного боку, 60 секунд паузи; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"set_pieces|corners|shooting|finishing";"кутовий|ближня стійка|блок|другий темп|удар";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-005";"Кутовий: хибна передача та вихід на дальню стійку";"set_pieces";"tactical";"without_opposition";"7";"16";"12";"advanced";"medium";"medium";"Кутовий із хибним коротким варіантом і швидким переведенням на дальню стійку. Рух ближнього гравця притягує захист, а дальній партнер входить у завершальну зону з другого темпу.";"B підходить до A для короткого розіграшу, але пропускає передачу або робить хибний рух. A виконує діагональ у C на протилежній стороні. C може завершити в один дотик або скинути D, який входить із глибини. B після відволікання атакує підбір.";"Ворота, м’ячі, 4 манекени або фішки";"Короткий варіант має виглядати реальним; C не відкривається завчасно; діагональ іде в зручну ногу; D входить після польоту м’яча; B контролює підбір.";"Хибний рух не притягує захист; C стоїть на дальній стійці; передача зависока; D входить занадто рано; після першої дії немає продовження.";"Додати активного захисника біля A і другого на дальній стійці.";"Працювати без захисту та виконувати фіксовану діагональ.";"B після хибного руху отримує коротку передачу й прострілює назад під C.";"3 блоки по 5 розіграшів із кожного кута, 60 секунд відпочинку; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"set_pieces|corners|finishing|decision_making";"кутовий|хибний розіграш|дальня стійка|діагональ|другий темп";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-006";"Кутовий: короткий розіграш і передача під удар";"set_pieces";"tactical";"without_opposition";"7";"16";"12";"medium";"medium";"medium";"Короткий кутовий для зміни кута атаки та створення передачі під удар гравцю, який входить із центральної зони. Комбінація корисна проти захисту, що щільно закриває ворота.";"A коротко передає B, який відходить від лицьової лінії. A одразу робить рух за спину або всередину. B повертає A або передає C у центральну зону під удар. D атакує дальню стійку й підбір.";"Ворота, м’ячі, 5–6 фішок, 2 манекени";"B відкривається під кутом; A не стоїть після пасу; C входить із глибини; передача під удар не йде під опорну ногу; D не перекриває коридор.";"B приймає спиною до поля; A не продовжує рух; C стоїть завчасно; передача назад надто сильна; відсутній гравець на підборі.";"Додати двох захисників і дозволити B самостійно продовжити вздовж лицьової лінії.";"Виконувати без захисту й воротаря, за фіксованим маршрутом.";"B після короткого пасу грає діагональ на дальню стійку.";"3 серії по 6 кутових, 60 секунд паузи; інтенсивність 50–65%.";"U11–U12|U13–U14|U15–U17|Дорослі";"set_pieces|corners|passing|shooting";"кутовий|короткий розіграш|передача назад|удар|підбір";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-007";"Штрафний по центру: скидка під удар другим дотиком";"set_pieces";"tactical";"without_opposition";"6";"14";"11";"medium";"medium";"small";"Центральний штрафний із короткою скидкою під удар партнеру. Вправа відпрацьовує точність першого дотику, синхронізацію розбігу та вибір траєкторії повз стінку.";"A стоїть біля м’яча, B починає розбіг із боку. За сигналом A коротко скидає м’яч у бік, B б’є другим дотиком або в один дотик. C і D атакують підбір і дальню стійку. Ролі змінюються після серії.";"Ворота, м’ячі, стінка-манекен або 3–4 манекени";"Скидка коротка й контрольована; B не стартує зарано; опорна нога стабільна; удар спрямований повз край стінки; гравці підбору не входять до удару.";"Скидка надто сильна; розбіг видає задум; B дивиться лише на м’яч; гравці перекривають траєкторію; після удару немає реакції.";"Додати активну стінку та воротаря, який бачить стартовий рух.";"Працювати без воротаря й із фіксованою зоною удару.";"A робить хибну скидку, B переступає через м’яч, а C б’є з іншого кута.";"3 серії по 5 ударів для кожного виконавця, 60 секунд паузи; інтенсивність 45–60%.";"U11–U12|U13–U14|U15–U17|Дорослі";"set_pieces|free_kicks|shooting|finishing";"штрафний|скидка|удар|стінка|другий дотик";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-008";"Фланговий штрафний: передача вздовж воріт";"set_pieces";"tactical";"without_opposition";"7";"16";"12";"hard";"high";"medium";"Фланговий штрафний із передачею вздовж воріт на ближню або дальню стійку. Комбінація розвиває таймінг забігань і вміння змінювати завершальний варіант залежно від позиції захисту.";"A виконує штрафний із флангу. B робить ривок на ближню стійку, C атакує дальню, D входить під передачу назад. A обирає низову передачу на B або C, а за закритих стійок — пас назад D.";"Ворота, м’ячі, 6 фішок, 2–3 манекени";"Гравці стартують після руху виконавця; передача низом і поза зоною воротаря; ближня та дальня стійки не входять на одну лінію; D контролює підбір; A сканує позицію воротаря.";"Ривки починаються зарано; всі атакують одну стійку; передача йде в воротаря; D стоїть занадто близько; A не має альтернативи.";"Додати активних захисників на стійках і в центральній зоні.";"Працювати без захисників і з фіксованим завершальним варіантом.";"B пропускає передачу на C, створюючи обманний рух на ближній стійці.";"2 серії по 8 розіграшів із кожного флангу, 75 секунд відпочинку; інтенсивність 65–80%.";"U13–U14|U15–U17|Дорослі";"set_pieces|free_kicks|finishing|decision_making";"фланговий штрафний|ближня стійка|дальня стійка|простріл|передача назад";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-009";"Непрямий штрафний: дотик, зміна кута та удар";"set_pieces";"complex";"without_opposition";"6";"14";"11";"hard";"medium";"small";"Непрямий штрафний із обов’язковим першим дотиком, зміною кута та швидким ударом. Комбінація приховує реальний напрямок завершення й створює чистішу траєкторію повз стінку.";"A торкається м’яча й зміщує його на 30–50 см. B робить хибний розбіг, C входить з іншого боку та б’є. D атакує підбір. У другому варіанті A котить м’яч B, який скидає C під удар.";"Ворота, м’ячі, 3–4 манекени";"Перший дотик чіткий і законний; хибний розбіг переконливий; C не показує напрямок завчасно; м’яч зміщується лише настільки, щоб змінити кут; D не перекриває удар.";"Перший дотик непомітний або надто сильний; усі стартують одночасно; удар виконується з незручної позиції; хибний рух не впливає на стінку; підбір відсутній.";"Додати активну стінку й дозволити виконавцям обирати між двома варіантами.";"Виконувати без воротаря й з фіксованим другим дотиком.";"Після першого дотику C не б’є, а передає на дальню стійку D.";"3 серії по 5 розіграшів, 60 секунд паузи; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"set_pieces|free_kicks|shooting|decision_making";"непрямий штрафний|перший дотик|хибний розбіг|зміна кута|удар";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
"SET-010";"Пенальті: передударна рутина та контроль підбору";"set_pieces";"technical";"individual";"3";"12";"12";"medium";"low";"small";"Вправа на стабільну передударну рутину, вибір зони та якісне виконання пенальті під психологічним тиском. Додатково команда відпрацьовує правильну реакцію на можливий відскок.";"Кожен гравець виконує серію з 5 пенальті, використовуючи однакову передударну рутину: дихання, вибір зони, постановка м’яча, фіксований розбіг. Після удару два партнери реагують на відскок за сигналом тренера. Результати фіксуються.";"Ворота, м’ячі, таблиця результатів або нотатки тренера";"Рутина однакова перед кожним ударом; рішення щодо зони приймається до розбігу; опорна нога стабільна; голова не піднімається занадто рано; після удару гравець готовий до відскоку.";"Гравець змінює рішення під час розбігу; поспішна постановка м’яча; різна довжина розбігу; надмірна сила без контролю; після удару всі зупиняються.";"Додати командний рахунок, часовий тиск або серію вирішальних ударів після фізичного навантаження.";"Працювати без воротаря по позначених зонах і без змагального рахунку.";"Виконувати 10-метрові удари з окремою рутиною та статистикою точності.";"5–7 ударів на гравця, повне відновлення між спробами; інтенсивність 30–45%.";"U11–U12|U13–U14|U15–U17|Дорослі";"set_pieces|penalties|shooting|decision_making";"пенальті|рутина|психологічна стійкість|точність|підбір";"";"active";"core";"Futsal Exercise Library — Set Pieces Content Pack v1.0"
