"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"TECH-001";"Матриця підошви: перекати та зміна напрямку";"technical";"technical";"individual";"4";"18";"8";"easy";"low";"small";"Базова футзальна робота з м’ячем для розвитку чутливості підошви, контролю центру ваги та швидкої зміни напрямку. Гравець послідовно виконує перекати, підтягування і поштовхи обома ногами, не випускаючи м’яч із робочої зони.";"Кожен гравець працює з м’ячем у квадраті 3×3 м. Тренер задає 4 рухи по 40 секунд: поперечний перекат підошвою, підтягування назад із поштовхом внутрішньою стороною, V-подібний рух та перекат із розворотом на 90°. Після кожного блоку — 20 секунд активної ходьби з м’ячем.";"1 м’яч на гравця, 4 фішки на робочий квадрат";"Коліна м’яко зігнуті; опорна стопа активна; м’яч залишається на відстані одного кроку; працювати правою і лівою ногою симетрично; після кожного руху піднімати голову та перевіряти простір.";"Гравець стоїть на прямих ногах; тисне на м’яч усією вагою; рухи виконуються лише провідною ногою; м’яч виходить за межі квадрата; швидкість підвищується раніше за якість.";"Додати візуальний сигнал кольору, який визначає напрямок виходу з квадрата після кожної комбінації, та завершувати рух коротким прискоренням.";"Виконувати кожен елемент окремо у повільному темпі, дозволити зупинку між фазами руху та збільшити квадрат до 4×4 м.";"Працювати в парах навпроти: один гравець задає послідовність рухів, партнер повторює її як дзеркало.";"4 блоки по 40 секунд, 20 секунд активного відпочинку; інтенсивність 40–55%, головний критерій — точність контакту з м’ячем.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|physical_preparation";"підошва|володіння м’ячем|обидві ноги|контроль м’яча|зміна напрямку";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-002";"Вісімка з м’ячем обома ногами";"technical";"technical";"individual";"4";"18";"9";"easy";"medium";"small";"Індивідуальна технічна вправа на дрібне ведення, координацію та зміну поверхні контакту. Траєкторія у формі вісімки змушує гравця багаторазово перебудовувати корпус і контролювати м’яч у тісному просторі.";"Для кожного гравця поставити дві фішки на відстані 2,5–3 м. Гравець веде м’яч вісімкою: перше коло — лише внутрішньою стороною, друге — зовнішньою, третє — підошвою, четверте — вільна комбінація. Напрямок змінюється кожні 45 секунд.";"1 м’яч і 2 фішки на гравця";"Торкатися м’яча часто й коротко; переносити вагу перед зміною напрямку; не обходити фішку широкою дугою; дивитися вперед після кожних двох-трьох дотиків; використовувати внутрішню і зовнішню поверхню обох стоп.";"Довгі дотики; корпус залишається вертикальним; гравець рухається лише в один зручний бік; м’яч проходить далеко від фішки; погляд постійно спрямований вниз.";"На виході з кожного повороту виконувати вибухове прискорення на 2–3 м, після чого повертатися до контрольованого темпу.";"Збільшити відстань між фішками до 4 м та дозволити вести м’яч тільки зручною поверхнею, поступово додаючи інші.";"Поставити три фішки трикутником і виконувати серію заданих маршрутів за номерами 1–2–3.";"4 серії по 75 секунд, пауза 30 секунд; інтенсивність 50–70%, технічна помилка є сигналом знизити темп.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|physical_preparation";"ведення|вісімка|координація|внутрішня сторона|зовнішня сторона";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-003";"Перший дотик через кольорові ворота";"technical";"technical";"without_opposition";"6";"16";"10";"medium";"medium";"medium";"Вправа на орієнтований перший дотик після сканування. Гравець повинен до отримання передачі знайти названі ворота, відкрити корпус і першим контактом провести м’яч у потрібний напрямок.";"Гравці працюють у парах у коридорі 10×6 м. Між ними розташовані три ворота різних кольорів. Перед передачею партнер або тренер називає колір; приймаючий перевіряє плече, приймає дальньою ногою через відповідні ворота й повертає м’яч із нового кута. Після 90 секунд ролі змінюються.";"1 м’яч на пару, 6 фішок трьох кольорів";"Сканувати до руху м’яча; створити напіввідкрите положення корпусу; перший дотик має вивести за лінію воріт; приймати дальньою від передачі ногою; другий дотик готує точний пас партнеру.";"Гравець чекає сигнал, дивлячись на фішки; корпус закритий до партнера; м’яч зупиняється під ногами; прийом виконується лише провідною ногою; після першого дотику немає зміни кута.";"Називати колір у момент передачі, додати другий сигнал для типу наступного пасу: внутрішньою стороною, зовнішньою або в один дотик.";"Використати лише двоє воріт, називати колір до передачі та дозволити окрему зупинку м’яча перед виходом.";"Приймаючий сам обирає вільні ворота після візуального сканування, а партнер закриває одні з них жестом руки.";"3 серії по 2,5 хвилини, пауза 45 секунд; темп передач 60–75%, щонайменше 8 якісних прийомів кожною ногою.";"U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|passing|decision_making";"перший дотик|сканування|дальня нога|кольорові ворота|орієнтація корпусу";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-004";"Прийом підошвою та пас у дальню ногу";"technical";"technical";"without_opposition";"6";"18";"10";"easy";"medium";"medium";"Футзальна техніка прийому підошвою з негайною підготовкою наступної передачі. Вправа формує звичку контролювати швидкий м’яч, зміщувати його від уявного суперника та віддавати пас у зручну для партнера ногу.";"Створити групи по три гравці у трикутнику зі сторонами 7–9 м. Гравець приймає пас підошвою, зміщує м’яч на пів кроку вбік і передає наступному партнеру в дальню від центру трикутника ногу. Після пасу переходить за м’ячем. Напрямок змінити в середині вправи.";"1 м’яч і 3 фішки на трійку";"Підошва зустрічає м’яч м’яко, без повної зупинки корпусу; опорна нога задає напрямок зміщення; передача йде по підлозі; партнер отримує м’яч на дальню ногу; після пасу — швидкий рух на нову позицію.";"М’яч затискається під стопою; прийом виконується стоячи на місці; зміщення надто велике; пас спрямований у ближню ногу; гравець залишається спостерігати за передачею.";"Обмежити дії двома контактами: підошва — пас, а потім додати зміну напрямку за голосовою командою центрального гравця.";"Дозволити три контакти та збільшити дистанції до 10–11 м, щоб гравець мав більше часу на підготовку.";"Працювати у двох паралельних лініях: прийом підошвою, поперечне зміщення і діагональний пас у протилежну колону.";"2 серії по 4 хвилини, пауза 60 секунд; у першій серії точність важливіша за темп, у другій — поступове прискорення передач.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|passing";"прийом підошвою|передача|дальня нога|трикутник|два контакти";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-005";"Квадрат передач із перевіркою плеча";"technical";"technical";"without_opposition";"8";"16";"11";"medium";"medium";"medium";"Передавальна вправа на сканування, відкривання корпусу та якість першого дотику. Гравець до отримання м’яча повинен зчитати сигнал за спиною, а потім продовжити передачу відповідно до побаченої інформації.";"Поставити квадрат 10×10 м, по 2–4 гравці на кожній фішці. М’яч рухається по периметру. Тренер або гравець у центрі показує один із двох кольорів за спиною приймаючого: один колір означає продовжити за напрямком, інший — розвернути атаку назад. Після пасу гравець переходить у наступну колону.";"1–2 м’ячі, 4 фішки, 2 кольорові картки";"Перевіряти плече до того, як м’яч покинув ногу партнера; приймати у відкритій позиції; перший дотик спрямовує наступну передачу; передавати в темп руху; голосом підтверджувати рішення.";"Погляд через плече надто пізно; гравець повертається спиною до наступної опції; перший дотик під себе; сигнал ігнорується; пас стає неточним через поспіх.";"Запустити два м’ячі та дозволити центральному гравцю змінювати напрямок у будь-який момент, вимагаючи постійного сканування.";"Прибрати кольоровий сигнал, виконувати стабільний напрямок і дозволити три дотики.";"Замість карток центральний гравець показує номер 1 або 2, що визначає передачу в ближню чи дальню сторону.";"3 серії по 3 хвилини, пауза 45 секунд; у серії з двома м’ячами скоротити тривалість до 90 секунд.";"U11–U12|U13–U14|U15–U17|Дорослі";"passing|ball_control|decision_making";"сканування|перевірка плеча|квадрат передач|перший дотик|комунікація";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-006";"Стіна з виходом під новий кут";"technical";"technical";"without_opposition";"6";"18";"11";"medium";"medium";"medium";"Комбінаційна технічна вправа на точну передачу, гру у стінку та зміну кута підтримки. Гравець не біжить прямо за м’ячем, а після пасу відкриває нову лінію для зворотної передачі.";"Побудувати кілька трикутників 9×7 м. Гравець A передає B і одразу зміщується діагонально за бічну фішку. B повертає м’яч у новий кут, A приймає в русі та передає C. Усі рухаються за м’ячем. Після 4 хвилин змінити напрямок.";"1 м’яч і 3–4 фішки на групу";"Перший пас має зафіксувати партнера; вихід починається одразу після передачі; кут підтримки не менше 45°; зворотний пас виконується в темп; прийом спрямований до наступної цілі.";"Гравець біжить за власним пасом по прямій; кут надто вузький; партнер повертає м’яч у ноги замість простору; прийом зупиняє комбінацію; відсутня зміна швидкості.";"Виконувати зворотну передачу в один дотик і додати вибір: A може продовжити на C або повернути м’яч B після обманного руху.";"Збільшити трикутник, дозволити B зупиняти м’яч перед зворотною передачею та позначити точку відкривання додатковою фішкою.";"Організувати ромб і після кожної стінки переводити м’яч на протилежний фланг.";"2 серії по 4,5 хвилини, пауза 60 секунд; темп 65–80%, контролювати якість перших двох кроків після пасу.";"U11–U12|U13–U14|U15–U17|Дорослі";"passing|ball_control|decision_making";"стінка|кут підтримки|рух після пасу|комбінація|передача в темп";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-007";"Ромб: прийом між лініями та розворот";"technical";"complex";"without_opposition";"8";"16";"12";"hard";"medium";"medium";"Вправа моделює прийом м’яча між лініями з різними варіантами продовження. Центральний гравець сканує простір, обирає прийом у півоберт або захист м’яча підошвою та переводить атаку на іншу сторону.";"Побудувати ромб 14×10 м із центральною позицією. Нижній гравець передає в центр. Перед прийомом тренер показує правий або лівий колір: центральний відкриває корпус, першим дотиком виходить у відповідний бік і передає у верхню точку. Після пасу всі переходять на наступну позицію, центрального змінюють кожні 60–75 секунд.";"1–2 м’ячі, 5 фішок, 2 кольорові картки";"Сканувати обидва плеча; не чекати м’яч на одній лінії з пасуючим; перший дотик іде від уявного тиску; опорна нога розгортає таз; наступна передача виконується без зайвого третього контакту.";"Центральний стоїть нерухомо; відкриває корпус до сигналу; приймає ближньою ногою; перший дотик надто широкий; після передачі не звільняє центральну зону.";"Додати пасивного захисника за спиною центрального гравця, який може закрити одну сторону, або дозволити прийом у один дотик через третю позицію.";"Прибрати сигнал, заздалегідь визначити сторону розвороту та збільшити ромб до 16×12 м.";"Центральний грає у стінку з нижнім гравцем і лише після повернення розвертається на верхню позицію.";"3 серії по 3 хвилини, пауза 60 секунд; центральна роль 60–75 секунд, інтенсивність 60–75% із фокусом на якість рішення.";"U13–U14|U15–U17|Дорослі";"ball_control|passing|playing_out_of_pressing|decision_making";"прийом між лініями|півоберт|ромб|сканування|розворот";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-008";"Коридор фінтів: обманний рух і вибух";"technical";"technical";"individual";"4";"16";"10";"medium";"high";"medium";"Індивідуальна робота над фінтом перед суперником і прискоренням після обманного руху. Гравець тренує зміну ритму, перенесення ваги та перший дотик у вільний простір.";"Створити коридори 12×3 м. На 6-й метр поставити манекен або фішку-захисника, на фініші — двоє воріт різних кольорів. Гравець веде м’яч у контрольованому темпі, виконує заданий фінт біля манекена та вибухово виходить через названі ворота. Використати фінти: замах, переступ, внутрішня-зовнішня, перекат підошвою.";"1 м’яч на гравця або колону, 6 фішок і 1 манекен на коридор";"Підійти до суперника під контролем; фінт має включати корпус, а не лише стопу; останній дотик перед фінтом короткий; вихідний дотик спрямований убік і вперед; після фінту — 3–4 максимальні кроки.";"Фінт виконується занадто далеко від манекена; відсутня зміна швидкості; корпус не продає обман; вихідний дотик під себе; гравець щоразу обирає лише зручну сторону.";"Тренер називає ворота в останній момент або пасивний захисник реагує після першого обманного руху.";"Заздалегідь визначити сторону, збільшити ширину коридору до 4 м і виконувати рух на 60% швидкості.";"Фінт виконується після прийому передачі від партнера, а не після ведення зі старту.";"2 блоки по 5–6 повторень на кожен бік, відпочинок 20–30 секунд між стартами та 75 секунд між блоками.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|decision_making|physical_preparation";"фінт|1v1 техніка|зміна ритму|прискорення|обманний рух";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-009";"1v1 у каналі: захист м’яча та вихід";"technical";"technical";"1v1";"4";"14";"12";"hard";"high";"small";"Дуельна вправа на захист м’яча корпусом, контроль підошвою та вихід із тиску через зміну напрямку. Нападник повинен не просто утримувати м’яч, а створити момент для проходу через одні з двох воріт.";"У каналі 8×5 м поставити двоє малих воріт на протилежних бокових лініях. Нападник отримує м’яч спиною до захисника і має 6 секунд, щоб захистити його та провести через будь-які ворота. Захисник починає на відстані витягнутої руки, контакт контрольований. Після епізоду ролі змінюються.";"1 м’яч на пару, 8 фішок на канал, манішки";"Поставити корпус між м’ячем і суперником; контролювати м’яч дальньою ногою або підошвою; відчувати тиск рукою й плечем без поштовху; використовувати паузу перед розворотом; після виграного простору одразу прискоритися.";"Нападник стоїть над м’ячем без плану виходу; м’яч знаходиться з боку захисника; надмірний контакт руками; розворот виконується без зміни темпу; захисник атакує з небезпечним контактом.";"Зменшити час до 4 секунд або додати третє центральне ворота з більшою цінністю за вихід через нього.";"Захисник працює пасивно перші 2 секунди, канал збільшується до 10×6 м, нападник отримує м’яч у зручну ногу.";"Нападник починає обличчям до захисника й отримує очко за контрольоване проведення за кінцеву лінію.";"2 серії по 5 дуелей на гравця, робота 6–8 секунд, відпочинок 30–40 секунд; між серіями 90 секунд.";"U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|individual_defending|decision_making";"1v1|захист м’яча|підошва|гра корпусом|вихід із тиску";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
"TECH-010";"1v1 спиною до воріт: розворот і завершення";"technical";"complex";"1v1";"4";"12";"13";"hard";"high";"medium";"Футзальна ситуація прийому спиною до воріт із подальшим розворотом або відскоком від захисника. Нападник поєднує прийом підошвою, захист м’яча, фінт і коротке завершення.";"Нападник стартує за 8–10 м від воріт, захисник — щільно за спиною. Сервер передає м’яч у ноги нападнику. Після прийому починається активне 1v1 тривалістю до 7 секунд. Нападник може розвернутися в обидва боки або зіграти коротку стінку із сервером, якщо пряма дуель заблокована.";"1 ворота, воротар або цільові зони, 6–8 м’ячів, манішки";"Перед прийомом перевірити позицію захисника; підошвою зафіксувати м’яч у безпечній зоні; використовувати руку для відчуття дистанції без утримання; розворот починати переносом ваги; завершувати швидко після створення пів метра.";"Прийом занадто далеко від корпусу; нападник повертається в сильну сторону захисника; надмірно довго утримує м’яч; після розвороту робить зайвий дотик; сервер стоїть без готовності до стінки.";"Обмежити нападника п’ятьма секундами або дозволити захиснику перехоплювати з моменту передачі сервера.";"Захисник починає на відстані 1 м, працює з 50% активності, а нападник отримує право на один вільний перший дотик.";"Проводити епізод біля бокової лінії з двома цільовими зонами замість воріт, акцентуючи вихід із тиску.";"6–8 повторень на гравця, робота до 7 секунд, відпочинок 40–60 секунд; завершити серію при падінні швидкості дій.";"U13–U14|U15–U17|Дорослі";"ball_control|finishing|shooting|decision_making";"1v1|спиною до воріт|розворот|прийом підошвою|швидке завершення";"";"active";"core";"Futsal Exercise Library — Technical Content Pack v1.0"
