"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"DEF-001";"Захисна стійка: дзеркало та контроль дистанції";"defending";"technical";"1v1";"4";"18";"8";"easy";"medium";"small";"Базова вправа на захисну стійку, роботу ніг і збереження правильної дистанції до суперника. Захисник рухається дзеркально, не перехрещує ноги та тримає корпус готовим реагувати на зміну напрямку.";"У коридорі 6×4 м гравці працюють у парах без м’яча. Нападник змінює напрямок і швидкість, а захисник повторює рухи, зберігаючи дистанцію 1–1,5 м. Через 20–25 секунд ролі змінюються. У другій серії нападник працює з м’ячем у повільному темпі.";"8–12 фішок для коридорів, 1 м’яч на пару для другої серії";"Низький центр ваги; стопи не стоять на одній лінії; короткі активні кроки; корпус трохи розвернутий; погляд на м’яч і таз суперника; не скорочувати дистанцію без контролю.";"Прямі ноги; перехрещення стоп; захисник дивиться лише на м’яч; надто близька дистанція; рух назад по прямій без зміщення корпусу; рання спроба відбору.";"Дозволити нападнику виконувати різкі прискорення з м’ячем і нараховувати захиснику очко за утримання суперника в коридорі протягом 6 секунд.";"Збільшити коридор до 8×5 м, працювати без м’яча та обмежити нападника двома напрямками.";"Тренер подає кольорові сигнали, за якими нападник змінює напрямок, а захисник реагує без попереднього знання.";"6 раундів по 20–25 секунд, 30 секунд відпочинку; інтенсивність 50–65%, пріоритет — якість стійки.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"individual_defending|decision_making|physical_preparation";"захисна стійка|робота ніг|дистанція|дзеркало|1v1";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-002";"1v1 у каналі: направити суперника назовні";"defending";"technical";"1v1";"4";"16";"10";"medium";"high";"small";"Дуельна вправа на керування напрямком атаки. Захисник закриває внутрішній коридор, підводить нападника до бокової лінії та вибирає момент для відбору без необґрунтованого стрибка.";"Створити канал 10×5 м із двома малими воротами на кінцевій лінії: центральними та боковими. Нападник стартує з м’ячем, захисник — на 2 м попереду. Нападник отримує 2 очки за центральні ворота й 1 за бокові; захисник отримує очко за відбір або примус до виходу м’яча.";"1 м’яч на пару, 8 фішок на канал, манішки";"Зайняти позицію між нападником і центральними воротами; підходити по дузі; тримати ближню ногу готовою до відбору; не розкривати корпус занадто рано; використовувати бокову лінію як додаткового захисника.";"Захисник стоїть фронтально; відкриває центр; атакує м’яч із великої дистанції; відступає без тиску; після фінту повертається всім корпусом; не реагує на довгий дотик.";"Скоротити канал до 8×4 м або обмежити нападника шістьма секундами на завершення.";"Збільшити ширину каналу, дозволити захиснику стартувати ближче та працювати з пасивним нападником у першій серії.";"Додати другі ворота з протилежного боку, щоб після відбору захисник міг одразу контратакувати.";"2 серії по 6 дуелей, 30–40 секунд між спробами; інтенсивність 70–85%.";"U11–U12|U13–U14|U15–U17|Дорослі";"individual_defending|decision_making";"1v1|направити назовні|бокова лінія|відбір|контроль центру";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-003";"1v1 спиною до воріт: не дозволити розворот";"defending";"technical";"1v1";"5";"15";"11";"medium";"high";"small";"Футзальна ситуація захисту проти гравця, який приймає м’яч спиною до воріт. Захисник контролює контакт, не дозволяє супернику розвернутися в центр і реагує на спробу гри через опору.";"Нападник розташовується за 8–10 м від воріт спиною до них, захисник — щільно позаду. Сервер передає м’яч у ноги нападнику. Після першого контакту починається активне 1v1 до удару, відбору або завершення 7 секунд. Після епізоду ролі змінюються.";"Ворота, 4–6 м’ячів, 4 фішки, манішки";"Контакт передпліччям без поштовху; одна нога страхує розворот у центр; не заходити надто близько під підошву; реагувати на довгий дотик; після скидки швидко відновлювати позицію між м’ячем і воротами.";"Захисник штовхає суперника; стоїть прямо за спиною без зміщення; дозволяє прийняти м’яч у центр; намагається вибити м’яч до контролю ситуації; втрачає баланс після фінту.";"Дозволити нападнику зіграти коротку стінку із сервером або скоротити час атаки до 5 секунд.";"Сервер передає повільніше, нападник має лише один напрямок розвороту, захисник отримує стартову позиційну перевагу.";"Замість воріт поставити двоє малих воріт, через які нападник повинен провести м’яч після розвороту.";"8–10 епізодів по 7 секунд, 35 секунд відновлення; інтенсивність 70–85%.";"U11–U12|U13–U14|U15–U17|Дорослі";"individual_defending|decision_making";"спиною до воріт|контакт|заборонити розворот|1v1|захист півота";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-004";"2v1: затримати атаку та закрити лінію пасу";"defending";"tactical";"2v1";"5";"15";"11";"medium";"high";"medium";"Вправа для одного захисника в меншості. Основне завдання — не виграти м’яч одразу, а сповільнити атаку, контролювати лінію передачі й змусити володаря м’яча прийняти передбачуване рішення.";"У коридорі 14×8 м двоє атакувальних грають проти одного захисника та мають провести м’яч через кінцеву лінію. Захисник стартує за 5–6 м від атакувальних. Епізод триває до завершення, відбору або 8 секунд. Після кожної атаки ролі змінюються.";"1 м’яч, 8 фішок, манішки";"Відступати по діагоналі; тримати обох суперників у полі зору; показувати володарю м’яча менш небезпечний напрямок; не розривати дистанцію стрибком; атакувати в момент поганої передачі або довгого дотику.";"Захисник одразу вибігає на м’яч; відкриває просту передачу; повертається спиною до другого нападника; відступає занадто глибоко; не скорочує дистанцію після неточного пасу.";"Скоротити час атаки до 6 секунд або додати ворота, які змушують захисника захищати конкретний сектор.";"Зменшити ширину поля, дозволити захиснику стартувати ближче або обмежити атакувальних трьома передачами.";"Після відбору захисник повинен провести м’яч через стартову лінію, отримуючи додаткове очко.";"2 серії по 6 атак, 40 секунд відпочинку; інтенсивність 70–85%.";"U11–U12|U13–U14|U15–U17|Дорослі";"individual_defending|defensive_transition|decision_making";"2v1|затримка атаки|лінія пасу|меншість|перехід у захист";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-005";"2v2: тиск, страхування та передача гравця";"defending";"tactical";"2v2";"6";"16";"12";"hard";"high";"medium";"Парна захисна вправа на взаємодію першого та другого захисника. Гравці вчаться синхронізувати тиск і страхування, передавати суперника під час перехресного руху та не відкривати центральний коридор.";"Грати 2v2 у зоні 14×10 м із двома малими воротами. Атакувальні починають із поперечної передачі, після якої захисники активуються. Один захисник тисне на м’яч, другий розташовується по діагоналі та контролює передачу й забігання.";"1 м’яч, 8 фішок, манішки";"Перший захисник спрямовує атаку; другий тримає глибину 2–3 м; постійна голосова комунікація; під час перехресного руху передавати гравця без одночасного виходу двох захисників; після пасу швидко змінювати ролі.";"Обидва захисники атакують м’яч; страхування знаходиться на одній лінії; немає комунікації; гравця передають занадто пізно; центральний коридор залишається відкритим.";"Додати обмеження 8 секунд на атаку або дозволити атакувальним використовувати стінку із нейтральним гравцем.";"Збільшити поле, починати з пасивного руху атакувальних або зупиняти епізод для корекції позицій.";"Грати 2v2 до одних воріт із воротарем, де другий захисник страхує удар і передачу на дальню стійку.";"4 раунди по 90 секунд, 60 секунд паузи; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"team_defending|individual_defending|decision_making";"2v2|тиск|страхування|передача гравця|комунікація";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-006";"3v2 у переході: захист воріт і відновлення центру";"defending";"complex";"3v2";"7";"16";"13";"hard";"high";"large";"Перехідна вправа для двох захисників проти трьох атакувальних. Захисники повинні спочатку захистити центральний коридор і ворота, сповільнити атаку та дочекатися повернення партнера.";"Троє атакувальних стартують із середньої лінії проти двох захисників. Третій захисник починає на 4–5 м позаду атаки та повертається після першої передачі. Атака завершується ударом, відбором або через 8 секунд.";"Ворота, м’ячі, 6–8 фішок, манішки";"Найближчий захисник контролює володаря м’яча без стрибка; другий захищає ворота й центральну передачу; змушувати атаку грати вбік; воротар керує глибиною; після повернення третього гравця швидко вирівнювати чисельність.";"Обидва захисники виходять на м’яч; відкривається центральний пас; захисники відступають у ворота без тиску; гравець, який повертається, біжить до м’яча замість вільного суперника.";"Збільшити стартову перевагу атакувальних або дозволити атаку в один дотик після входу в останню третину.";"Зменшити ширину поля, скоротити відстань повернення третього захисника або починати з контрольованої швидкості.";"Після відбору захисники одразу контратакують у двоє малих воріт біля середньої лінії.";"2 серії по 6 атак, 60–90 секунд між серіями; інтенсивність 80–90%.";"U13–U14|U15–U17|Дорослі";"defensive_transition|team_defending|decision_making";"3v2|захисний перехід|повернення|захист центру|затримка атаки";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-007";"3v3: компактний блок і синхронне зміщення";"defending";"tactical";"3v3";"6";"15";"13";"hard";"high";"medium";"Командна вправа на компактність трійки та синхронне зміщення за м’ячем. Захисники тримають короткі відстані, перекривають центральні передачі й передають суперників без руйнування структури.";"Грати 3v3 на площі 18×14 м із двома кінцевими зонами. Атакувальні отримують очко за контрольовану передачу в кінцеву зону. Захисники отримують очко за відбір і передачу тренеру або в стартову зону. Раунди по 2 хвилини.";"1 м’яч, 8 фішок, манішки";"Відстань між захисниками 3–5 м; найближчий тисне, партнери звужують; зміщуватися разом із передачею; захищати простір перед гравцем; дальній захисник контролює слабку сторону.";"Лінія розтягується; дальній захисник залишається широко; тиск починається без підтримки; захисники стежать лише за своїм гравцем; після переводу немає синхронного зміщення.";"Обмежити атакувальних двома дотиками або додати нейтрального гравця, який створює перевантаження.";"Зменшити поле, дозволити захисникам починати в готовому компактному блоці або зробити нейтрального гравця пасивним.";"Замість кінцевих зон використовувати чотири малі ворота, змушуючи блок швидко змінювати напрямок.";"4 раунди по 2 хвилини, 75 секунд паузи; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"team_defending|decision_making";"3v3|компактність|зміщення|захист центру|блок";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-008";"4v4: закрити центр і направити атаку на фланг";"defending";"game";"4v4";"8";"16";"15";"hard";"high";"large";"Мала гра на колективний захист центрального коридору. Команда без м’яча формує компактний блок, дозволяє менш небезпечні передачі на фланг і активує тиск біля бокової лінії.";"Грати 4v4 на площі 24×18 м із двома воротами або кінцевими зонами. Центральний коридор шириною 6 м позначити фішками. Атакувальна команда отримує подвійне очко за просування через центр, тому захист повинен направляти гру назовні.";"1 м’яч, 10–12 фішок, манішки, малі ворота або кінцеві зони";"Перший захисник закриває внутрішню передачу; партнери звужують за його спиною; активувати тиск після пасу до бокової лінії; дальній гравець контролює переведення; зберігати баланс між м’ячем і воротами.";"Захисник виходить прямо й відкриває центр; блок не зміщується; фланговий тиск запізнюється; дальня сторона залишається без контролю; команда сідає надто глибоко.";"Обмежити захисній команді час на контратаку після відбору або додати воротарів і завершення ударом.";"Зменшити ширину поля, використовувати пасивний темп атаки або дозволити тренеру зупиняти гру для корекції.";"Грати на чотири малі ворота: захисники повинні закривати ближні до м’яча ворота й контролювати переведення.";"4 раунди по 3 хвилини, 90 секунд відпочинку; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"team_defending|decision_making";"4v4|захист центру|направити на фланг|компактний блок|бокова лінія";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-009";"4v4 із півотом: тиск спереду та страхування ззаду";"defending";"tactical";"4v4";"8";"16";"15";"advanced";"high";"large";"Командна вправа на захист проти півота. Один захисник перешкоджає прямій передачі спереду, другий страхує можливий розворот і скидку, а решта команди зберігає баланс проти флангових рухів.";"Грати 4v4 на половині майданчика з воротами. Атакувальна команда використовує визначеного півота у верхній зоні. За передачу в півота та контрольовану скидку команда отримує бонус. Захисники повинні змінювати спосіб опіки залежно від позиції м’яча.";"Ворота, м’ячі, манішки, 6 фішок";"Ближній захисник закриває лінію передачі в півота; страховка не стоїть надто близько; під час пасу один атакує прийом, інший контролює розворот; флангові захисники звужують і готові підбирати скидку.";"Двоє захисників стоять на одній лінії; півот приймає без контакту; страховка запізнюється; фланги залишаються відкритими; захисники переслідують півота далеко від небезпечної зони.";"Дозволити півоту вільно змінювати висоту або обмежити захист двома секундами на перебудову після переводу.";"Півот залишається у фіксованій зоні, атака грає в контрольованому темпі, а тренер задає сторону передачі.";"Грати 3v3 плюс два нейтральні півоти на торцевих лініях, відпрацьовуючи захист скидки з обох боків.";"4 раунди по 3 хвилини, 90 секунд паузи; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"team_defending|individual_defending|decision_making";"півот|подвійне страхування|4v4|скидка|захист спиною до воріт";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
"DEF-010";"Низький блок 4v4: відбір і перша передача в контратаку";"defending";"complex";"4v4";"8";"16";"16";"advanced";"variable";"large";"Комплексна гра на захист у низькому блоці та якісний вихід після повернення м’яча. Команда повинна компактно захистити ворота, а після відбору не вибивати м’яч навмання, а знайти першу безпечну передачу в контратаку.";"Грати 4v4 із воротарями на майданчику 28×18 м. Одна команда починає атаку на половині суперника, інша захищається нижче умовної лінії. Після відбору захисна команда має 6 секунд, щоб виконати контрольовану передачу через середню лінію або завершити контратаку.";"Двоє воріт, м’ячі, манішки, 6–8 фішок";"Відстані між лініями короткі; найближчий захисник тисне лише з підтримкою; захищати центр і дальню стійку; після відбору перший погляд уперед; ближній партнер дає безпечну опору, дальні гравці розтягують контратаку.";"Блок опускається у ворота; після відбору м’яч одразу втрачається; усі гравці біжать уперед; немає підтримки під першу передачу; дальня стійка залишається без контролю.";"Обмежити вихід із захисту чотирма секундами або нараховувати подвійне очко за контратаку після перехоплення в центральному коридорі.";"Збільшити час на першу передачу, дозволити нейтрального гравця для виходу або починати з позиційної атаки без удару в перші 5 секунд.";"Грати без воріт із двома кінцевими зонами: після відбору команда повинна доставити м’яч у протилежну зону.";"4 раунди по 3 хвилини, 90 секунд відпочинку; інтенсивність змінна 65–85%.";"U13–U14|U15–U17|Дорослі";"team_defending|defensive_transition|attacking_transition|decision_making";"низький блок|4v4|контратака|перша передача|захист воріт";"";"active";"core";"Futsal Exercise Library — Defending Content Pack v1.0"
