"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"ATK-001";"Стінка з третім гравцем і завершенням";"attacking";"tactical";"without_opposition";"6";"18";"11";"medium";"medium";"medium";"Базова атакувальна комбінація через стінку та підключення третього гравця. Вправа розвиває таймінг передачі, рух після пасу й завершення атаки без втрати темпу.";"Гравець A передає центральному B і робить діагональний ривок. B скидає м’яч гравцю C, який входить із глибини. C передає в хід A або завершує самостійно залежно від сигналу тренера. Після атаки A переходить на B, B — на C, C — у кінець колони.";"Ворота, м’ячі, 4–6 фішок, 1 манекен";"Перша передача має притягнути умовного захисника; скидка виконується в темп; третій гравець стартує під час польоту м’яча; завершальна передача не сповільнює атаку; після пасу всі продовжують рух.";"Третій гравець стартує запізно; B робить зайвий дотик; A біжить по прямій; завершальний пас іде за спину; після передачі гравці зупиняються.";"Додати пасивного захисника в центрі або обмежити B одним дотиком.";"Прибрати манекен, дозволити B два-три дотики та збільшити відстані між позиціями.";"C замість передачі A грає в один дотик у півота, який скидає під удар.";"3 блоки по 2 хвилини, 45 секунд відпочинку; інтенсивність 50–65%.";"U11–U12|U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making|finishing";"стінка|третій гравець|пас і рух|завершення|комбінація";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-002";"Півот і забігання слабкого флангу";"attacking";"tactical";"without_opposition";"8";"18";"12";"hard";"medium";"large";"Комбінація через півота з одночасним забіганням гравця зі слабкого флангу. Команда вчиться використовувати центральну опору, скидку та простір за спиною захисної лінії.";"Нижній гравець передає на сильний фланг. Фланговий грає в півота, а протилежний фланг робить діагональний ривок за спину. Півот скидає м’яч у центральну зону, звідки виконується передача на забігання або удар другим темпом.";"Ворота, м’ячі, 6–8 фішок, 1 манекен";"Пас у півота йде в дальню ногу; слабкий фланг тримає ширину до моменту передачі; півот бачить обидва варіанти; скидка коротка; завершальний рух виконується на максимальній швидкості.";"Слабкий фланг стартує зарано; півот приймає закритим корпусом; скидка надто сильна; нижній гравець не підтримує атаку; усі рухаються в одну зону.";"Додати активного захисника півота або дозволити тренеру змінювати бік забігання.";"Працювати без захисника, дозволити півоту три дотики та зменшити швидкість виконання.";"Півот розвертається сам, а забігання слабкого флангу використовується як відволікаючий рух.";"3 блоки по 2 хвилини, 60 секунд паузи; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making|finishing";"півот|слабкий фланг|забігання|скидка|позиційна атака";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-003";"Фіксація флангу та діагональний перевод";"attacking";"tactical";"without_opposition";"8";"20";"12";"hard";"medium";"large";"Атакувальна модель на притягування суперника до одного флангу й швидкий перевод на слабку сторону. Акцент робиться на терпінні, відкритому корпусі центрального гравця та своєчасному русі дальнього партнера.";"На одному фланзі виконуються дві короткі передачі через підтримку. М’яч повертається центральному гравцю, який одним або двома дотиками переводить його діагоналлю на протилежний фланг. Дальній гравець приймає вперед і завершує через простріл або удар.";"Ворота, 1–2 м’ячі, 8 фішок";"Короткі передачі мають зафіксувати блок; центральний сканує слабку сторону до прийому; дальній гравець не звужується; діагональ іде в простір перед партнером; після переводу команда перебудовується.";"Перевод виконується без фіксації боку; центральний приймає закритим корпусом; дальній гравець стоїть; м’яч іде за спину; після діагоналі немає підтримки.";"Додати двох пасивних захисників у центральній зоні або обмежити центрального одним дотиком.";"Скоротити дистанцію переводу й дозволити центральному підготувати м’яч трьома дотиками.";"Переводити м’яч через скидку півота замість прямої діагоналі.";"4 серії по 90 секунд, 45 секунд відпочинку; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making";"зміна флангу|діагональ|слабка сторона|ширина|фіксація блоку";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-004";"Перехресний рух двох флангів через центр";"attacking";"tactical";"without_opposition";"8";"16";"12";"hard";"medium";"medium";"Комбінація з перехресним рухом флангових гравців для зміни орієнтирів захисту. Вправа формує синхронізацію, правильні відстані та вміння використовувати простір, що звільнився після перетину.";"Двоє флангових стартують широко. Після передачі знизу один фланг зміщується всередину, другий проходить за його спиною на протилежний бік. Центральний гравець обирає передачу в ноги внутрішньому гравцю або в хід тому, хто виконав перехресний рух.";"1–2 м’ячі, 6 фішок, 2 манекени";"Перехресний рух виконується на різних висотах; гравці не зіштовхуються; центральний не поспішає з рішенням; передача йде в напрямку наступної дії; після руху зберігається ширина.";"Обидва гравці стартують одночасно на одній лінії; центральний дивиться лише на м’яч; перетин надто близько; немає прискорення після зміни напрямку; дальня сторона залишається порожньою.";"Додати одного активного захисника, який обирає, кого супроводжувати.";"Виконувати без манекенів і з фіксованим варіантом передачі.";"Після перехресного руху центральний грає в півота, а один із флангів атакує скидку.";"3 блоки по 2 хвилини, 60 секунд паузи; інтенсивність 50–65%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making";"перехресний рух|фланги|ротація|зміна позицій|простір";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-005";"2v1 на фланзі з передачею назад";"attacking";"tactical";"2v1";"5";"15";"12";"medium";"high";"medium";"Ситуаційна комбінація на створення переваги 2v1 біля бокової лінії та передачу назад під удар або продовження атаки. Гравці вчаться фіксувати захисника й не форсувати простріл у закриту зону.";"Двоє атакувальних стартують на фланзі проти одного захисника. Після поперечної передачі починається активний епізод. Атакувальні можуть пройти до лицьової лінії й передати назад третьому гравцю, який входить із глибини, або завершити через ближні ворота.";"Ворота або малі ворота, м’ячі, 8 фішок, манішки";"Володар м’яча веде на захисника; партнер створює зовнішню або внутрішню лінію; передача виконується після фіксації; гравець із глибини не входить зарано; простріл назад іде поза зоною воротаря.";"Передача виконується до фіксації; партнери зближуються; гравець із глибини стоїть; простріл іде в захисника; атака сповільнюється біля лицьової лінії.";"Додати другого захисника, який повертається в центральну зону.";"Починати проти пасивного захисника або дозволити необмежений час.";"Замість передачі назад виконувати передачу на дальню стійку.";"2 серії по 6–8 атак із кожного боку, 60 секунд між серіями; інтенсивність 75–85%.";"U11–U12|U13–U14|U15–U17|Дорослі";"positional_attack|finishing|decision_making|passing";"2v1|фланг|передача назад|фіксація захисника|завершення";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-006";"3v2 через центрального гравця між лініями";"attacking";"tactical";"3v2";"7";"16";"13";"hard";"high";"medium";"Вправа на використання центрального гравця між двома захисниками та продовження атаки в чисельній перевазі. Команда вчиться створювати вертикальну передачу, підтримувати її з двох боків і завершувати без зайвих пауз.";"У прямокутнику 16×12 м троє атакувальних грають проти двох захисників. Один атакувальний починає між лініями. Після вертикальної передачі він може розвернутися, скинути на фланг або зіграти третьому гравцю. Атака має 8 секунд на проходження через кінцеву лінію.";"1 м’яч, 8 фішок, манішки";"Центральний змінює висоту позиції; передача йде в дальню ногу; фланги тримають різні висоти; після вертикального пасу команда одразу підтримує; рішення залежить від позиції двох захисників.";"Центральний стоїть статично; пас форсується в закритий коридор; фланги стають на одну лінію; скидка виконується назад без просування; атака втрачає темп.";"Скоротити час до 6 секунд або дозволити захисникам контратакувати після відбору.";"Збільшити поле й дозволити центральному три дотики.";"Грати через нейтрального півота за кінцевою лінією замість проходу через неї.";"6–8 епізодів по 8 секунд, 35–45 секунд відновлення; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making|attacking_transition";"3v2|між лініями|вертикальний пас|чисельна перевага|третій гравець";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-007";"3v3 плюс півот: створення переваги навколо м’яча";"attacking";"tactical";"3v3";"7";"15";"14";"hard";"high";"large";"Позиційна гра на використання нейтрального півота для створення локальної переваги. Команда повинна знаходити правильний момент для передачі, скидки та підключення третього гравця.";"Грати 3v3 на половині майданчика з нейтральним півотом у верхній зоні. Півот грає за команду з м’ячем максимум у два дотики. Атака отримує бонусне очко за контрольовану скидку й подальшу передачу або удар.";"Ворота або двоє малих воріт, м’ячі, манішки, 6 фішок";"Не форсувати прямий пас у півота; створити кут і відстань підтримки; півот грає в безпечний бік; третій гравець входить під скидку; після передачі команда зберігає баланс.";"Гравці стоять після пасу; півот приймає без підтримки; усі зближуються навколо м’яча; скидка виконується навмання; фланг не тримає ширину.";"Обмежити атакувальних двома дотиками або дозволити півоту завершувати після розвороту.";"Півот має три дотики, захисники працюють у контрольованому темпі.";"Використовувати двох нейтральних півотів на різних висотах.";"4 раунди по 2,5 хвилини, 75 секунд відпочинку; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making|finishing";"3v3|півот|локальна перевага|скидка|позиційна атака";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-008";"4v3: перевантаження флангу та дальня стійка";"attacking";"tactical";"4v3";"8";"16";"14";"advanced";"high";"large";"Комбінаційна вправа на створення перевантаження 3v2 на одному фланзі з одночасним контролем дальньої стійки. Гравці вчаться використовувати перевагу, не втрачаючи ширину на протилежному боці.";"Четверо атакувальних грають проти трьох захисників на половині майданчика. Троє атакувальних створюють перевантаження на фланзі, четвертий тримає дальню стійку. Завдання — пройти фланг і завершити прострілом назад або передачею на дальню.";"Ворота, м’ячі, манішки, 8 фішок";"Перевантаження не повинно стати скупченням; дальній гравець тримає ширину; м’яч рухається швидше за захист; після залучення другого захисника відкривається передача; завершувати до повного зміщення блоку.";"Усі четверо рухаються до м’яча; дальня стійка порожня; флангові гравці стоять на одній лінії; простріл іде в воротаря; атака робить зайві передачі.";"Додати четвертого захисника, який стартує із запізненням.";"Захисники працюють пасивно або поле розширюється.";"Після перевантаження флангу виконувати зворотний перевод на протилежний бік.";"2 серії по 6 атак із кожного флангу, 75 секунд між серіями; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"positional_attack|finishing|passing|decision_making";"4v3|перевантаження|фланг|дальня стійка|простріл";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-009";"4v4: розтягнути блок і атакувати напівзону";"attacking";"game";"4v4";"8";"16";"15";"advanced";"high";"large";"Мала гра на розтягування компактного захисного блоку та використання напівзон. Атакувальна команда створює ширину, переводить м’яч і шукає момент для входу між фланговим та центральним захисником.";"Грати 4v4 із воротарями на площі 28×18 м. Позначити дві напівзони шириною 3 м. Гол після передачі або прийому в напівзоні зараховується подвійно. Захисна команда грає компактним блоком.";"Двоє воріт, м’ячі, манішки, 8–10 фішок";"Тримати максимальну ширину до переводу; не займати напівзону зарано; передача виконується під рух; гравець у напівзоні бачить ворота й слабку сторону; після проникнення команда підтримує атаку.";"Атакувальні стоять усередині блоку; фланги звужуються; передача йде в статичного гравця; після переводу немає прискорення; команда форсує центр без підготовки.";"Обмежити двома дотиками або дозволити захисту контратакувати протягом 6 секунд після відбору.";"Збільшити поле або додати нейтрального гравця в центрі.";"Замість напівзон використовувати чотири малі ворота в кутах атакувальної третини.";"4 раунди по 3 хвилини, 90 секунд паузи; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making|finishing";"4v4|напівзона|розтягування блоку|ширина|позиційна атака";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
"ATK-010";"Повна комбінація 4-0: ротація, третій гравець, завершення";"attacking";"complex";"full_team";"8";"16";"16";"advanced";"variable";"full_court";"Повна атакувальна модель із базової структури 4-0. Команда поєднує ротацію, зміну висоти, передачу через третього гравця та завершення після входу у вільну зону.";"Чотири польові гравці починають у структурі 4-0 на половині майданчика. Після першої передачі ближній фланг входить усередину, дальній опускається нижче, а центральний гравець створює третю лінію. Комбінація завершується діагональною передачею, скидкою або входом на дальню стійку. Після кожної атаки напрямок змінюється.";"Повний майданчик, ворота, м’ячі, 8 фішок, 2–4 манекени";"Ротація починається після передачі; гравці не займають одну лінію; зберігати ширину й глибину; третій гравець входить у момент відкриття коридору; завершальна дія залежить від реакції умовного захисту.";"Ротація механічна й без сканування; усі рухаються одночасно; м’яч рухається повільно; немає гравця за м’ячем; завершення виконується без підтримки дальньої стійки.";"Додати чотирьох активних захисників або дозволити тренеру сигналом змінювати завершальний варіант.";"Виконувати без захисту в повільному темпі та розділити комбінацію на дві фази.";"Починати в структурі 3-1 і під час комбінації переходити в 4-0.";"4 блоки по 3 хвилини, 90 секунд відпочинку; інтенсивність змінна 60–80%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making|finishing";"4-0|ротація|третій гравець|повна комбінація|тактична атака";"";"active";"core";"Futsal Exercise Library — Attacking Combinations Content Pack v1.0"
