"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"TACT-001";"Система 4-0: базові позиції та ротація після передачі";"tactical";"tactical";"full_team";"8";"16";"15";"hard";"medium";"full_court";"Базова командна модель структури 4-0 без постійного півота. Гравці вчаться підтримувати ширину й глибину, змінювати позиції лише після передачі та постійно створювати нові лінії підтримки.";"Четверо польових розташовуються у двох нижніх і двох верхніх позиціях без фіксованого півота. Після кожної передачі пасуючий змінює висоту або фланг, а партнер балансує звільнену позицію. Спочатку команда працює без захисту, потім проти чотирьох пасивних захисників.";"Повний майданчик, двоє воріт, м’ячі, 8 фішок, 4 манекени або пасивні захисники";"Не займати одну вертикальну лінію; ротація починається після передачі; дальній гравець тримає ширину; завжди залишати підтримку за м’ячем; сканувати до прийому; не перетворювати ротацію на механічний біг.";"Усі рухаються одночасно; гравці зближуються в центрі; пасуючий залишається на місці; немає гравця за м’ячем; ротація виконується без оцінки захисту; темп передач надто повільний.";"Додати активний захист 4v4 та бонус за завершення після ротації через третього гравця.";"Розділити ротацію на два фіксовані маршрути й виконувати без захисту в контрольованому темпі.";"Після трьох передач один із верхніх гравців тимчасово стає півотом, переводячи структуру в 3-1.";"4 блоки по 3 хвилини, 90 секунд відпочинку; інтенсивність 55–70%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making";"4-0|ротація|ширина|підтримка|позиційна структура";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-002";"Система 3-1: побудова атаки через півота";"tactical";"tactical";"full_team";"8";"16";"15";"hard";"medium";"full_court";"Командна модель структури 3-1 з постійним або рухливим півотом. Вправа навчає створювати лінію передачі в півота, підтримувати скидку та використовувати слабкий фланг після фіксації центрального захисника.";"Троє гравців формують нижню лінію, півот працює між останніми захисниками. М’яч рухається через фланги й центр, після чого команда шукає передачу в півота, скидку під удар або переведення на протилежний бік. Після серії півот змінюється.";"Повний майданчик, ворота, м’ячі, 8 фішок, манекени або пасивні захисники";"Півот змінює висоту й бік; передача йде в дальню ногу; нижня трійка не стає на одну лінію; після пасу в півота один гравець атакує скидку, інший страхує; слабкий фланг тримає ширину.";"Півот стоїть статично; усі шукають прямий пас у центр; немає підтримки скидки; нижні гравці зближуються; дальній фланг звужується; атака стає передбачуваною.";"Додати активний захист 4v4 і дозволити півоту вільно міняти позицію з фланговим гравцем.";"Півот залишається у фіксованій зоні, захист пасивний, команда виконує два заздалегідь визначені варіанти.";"Півот відходить у фланг, а один із нижніх гравців входить у центральну зону, тимчасово створюючи 4-0.";"4 блоки по 3 хвилини, 90 секунд паузи; інтенсивність 55–70%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|finishing|decision_making";"3-1|півот|скидка|слабкий фланг|позиційна атака";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-003";"Система 2-2: зміна висоти та діагональні зв’язки";"tactical";"tactical";"full_team";"8";"16";"14";"hard";"medium";"large";"Модель структури 2-2 із двома нижніми та двома верхніми гравцями. Команда вчиться створювати діагональні лінії передач, міняти висоту позицій і не залишати м’яч без підтримки під час вертикального просування.";"Двоє гравців починають нижче, двоє — у верхній лінії. Після передачі вгору ближній нижній підтримує м’яч, а дальній балансує структуру. Верхні гравці можуть мінятися місцями або один із них відходить у фланг. Після 2 хвилин напрямок атак змінюється.";"Майданчик 28×18 м, двоє воріт, м’ячі, 8 фішок";"Зберігати діагональні відстані; верхні гравці не стоять на одній лінії; передача вгору супроводжується підтримкою; дальній нижній контролює втрату; змінювати висоту, а не лише фланг.";"Структура перетворюється на дві статичні лінії; немає підтримки вертикального пасу; обидва нижні піднімаються одночасно; верхні гравці зближуються; команда не контролює простір за м’ячем.";"Грати 4v4 з бонусом за передачу між лініями та завершення протягом 6 секунд.";"Виконувати без захисту з фіксованою послідовністю передач і ротацій.";"Після вертикальної передачі один верхній гравець стає півотом, переводячи структуру в 3-1.";"4 раунди по 2,5 хвилини, 75 секунд відпочинку; інтенсивність 55–70%.";"U13–U14|U15–U17|Дорослі";"positional_attack|passing|decision_making";"2-2|діагональ|зміна висоти|баланс|позиційна структура";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-004";"Перехід 4-0 у 3-1 залежно від позиції м’яча";"tactical";"complex";"full_team";"8";"16";"16";"advanced";"variable";"full_court";"Комбінована тактична вправа на керований перехід між структурами 4-0 та 3-1. Команда змінює модель не за заздалегідь заданою схемою, а відповідно до позиції м’яча, тиску та доступного простору.";"Команда починає в 4-0. Коли м’яч стабільно переходить на один фланг, дальній верхній гравець може зайняти позицію півота, а решта формує нижню трійку. Після повернення м’яча назад або переводу структура відновлюється до 4-0. Спочатку робота без захисту, потім 4v4.";"Повний майданчик, ворота, м’ячі, 8 фішок, манішки";"Зміна структури має бути реакцією на ситуацію; півот не входить у центр зарано; нижня трійка зберігає ширину; після втрати команда одразу бачить баланс; комунікувати момент переходу.";"Структура змінюється механічно; двоє гравців одночасно входять у півота; немає підтримки за м’ячем; після переводу команда залишається в 3-1 без потреби; відсутня комунікація.";"Додати активний захист із завданням змінювати висоту пресингу, змушуючи атаку адаптувати структуру.";"Тренер сигналом визначає момент переходу, а захист працює пасивно.";"Починати в 3-1 та переходити в 4-0 після відходу півота в нижню лінію.";"4 блоки по 3 хвилини, 90 секунд паузи; інтенсивність змінна 60–80%.";"U13–U14|U15–U17|Дорослі";"positional_attack|playing_out_of_pressing|decision_making|passing";"4-0|3-1|зміна системи|адаптація|структура";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-005";"Високий пресинг 1-2-1: направити атаку на фланг";"tactical";"tactical";"full_team";"10";"18";"15";"advanced";"high";"full_court";"Командна модель високого пресингу у структурі 1-2-1. Перший гравець закриває центральний пас і направляє суперника на фланг, середня пара синхронно стискає простір, а останній захисник контролює глибину.";"Грати 4v4 із воротарями. Команда без м’яча формує 1-2-1 на половині суперника. Пресинг починається після передачі воротаря на фланг. Ближній гравець тисне, середня пара закриває короткі лінії, останній страхує півота й довгу передачу.";"Повний майданчик, двоє воріт, м’ячі, манішки";"Перший гравець підходить по дузі; середня пара рухається разом; дальній гравець звужує; останній не провалюється занадто глибоко; пресинг активується за чітким тригером.";"Перший гравець біжить прямо; середня лінія залишається широко; дальній фланг не звужує; останній виходить без страховки; пресинг починається без синхронізації.";"Додати бонус за відбір у фінальній третині або обмежити команду з м’ячем двома дотиками.";"Працювати проти контрольованого розіграшу без швидкої довгої передачі.";"Направляти гру не на фланг, а в заздалегідь визначену центральну пастку.";"4 раунди по 3 хвилини, 2 хвилини відпочинку; інтенсивність 80–90%.";"U13–U14|U15–U17|Дорослі";"pressing|team_defending|decision_making";"1-2-1|високий пресинг|флангова пастка|тригери|командний захист";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-006";"Середній блок 2-2: компактність і контроль центру";"tactical";"tactical";"4v4";"8";"16";"15";"hard";"high";"large";"Командна модель середнього блоку 2-2. Захисна команда контролює центральний коридор, дозволяє менш небезпечні передачі назад і вбік та активує тиск після входу суперника у визначену зону.";"Грати 4v4 на площі 28×18 м. Команда без м’яча формує дві компактні лінії по два гравці. Центральний коридор позначений фішками. Тиск активується після передачі на фланг або поганого прийому. Після відбору команда має 6 секунд на контратаку.";"Майданчик 28×18 м, двоє воріт або кінцеві зони, м’ячі, манішки, 8 фішок";"Відстань між лініями 4–6 м; ближня пара зміщується за м’ячем; дальній гравець звужує; не виходити з блоку без підтримки; після відбору перша передача контрольована.";"Лінії розтягуються; один гравець виходить сам; дальній фланг залишається широко; блок сідає надто глибоко; після відбору м’яч одразу втрачається.";"Обмежити атакувальну команду двома дотиками або зараховувати подвійне очко за контратаку після відбору.";"Зменшити поле й дозволити тренеру зупиняти гру для корекції позицій.";"Формувати асиметричний блок 1-2-1 після передачі на фланг.";"4 раунди по 3 хвилини, 90 секунд паузи; інтенсивність 70–85%.";"U13–U14|U15–U17|Дорослі";"team_defending|defensive_transition|decision_making";"2-2|середній блок|компактність|контроль центру|контратака";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-007";"Низький блок 1-2-1: захист воріт і дальньої стійки";"tactical";"tactical";"4v4";"10";"18";"15";"advanced";"high";"large";"Командна модель низького блоку 1-2-1 із пріоритетом захисту центрального коридору, дальньої стійки та передачі назад під удар. Команда вчиться не опускатися у ворота й зберігати можливість для контратаки.";"Грати 4v4 із воротарями на половині майданчика. Захисна команда формує 1-2-1 перед воротами. Перший гравець контролює м’яч, середня пара захищає центр і стійки, останній страхує півота та передачу назад. Після відбору захисники атакують двоє малих воріт.";"Ворота, двоє малих воріт, м’ячі, манішки, 6 фішок";"Перший захисник не провалюється; середня пара бачить м’яч і суперників; дальній гравець контролює стійку; останній керує глибиною; після відбору ближній партнер дає опору.";"Усі захисники дивляться на м’яч; дальня стійка відкрита; блок сідає на лінію воріт; перший гравець виходить без підтримки; після відбору немає першої передачі.";"Додати нейтрального півота для атакувальної команди або скоротити час контратаки до 5 секунд.";"Захист працює проти контрольованої атаки без швидких переведень.";"Після передачі на фланг блок перебудовується в асиметричний 2-1-1.";"4 раунди по 3 хвилини, 2 хвилини відпочинку; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"team_defending|defensive_transition|decision_making";"1-2-1|низький блок|дальня стійка|захист воріт|контратака";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-008";"Атака 5v4: структура з воротарем-літаючим";"tactical";"tactical";"numbers_up";"10";"18";"16";"advanced";"medium";"full_court";"Командна модель гри 5v4 з воротарем-літаючим. Атакувальна команда вчиться підтримувати ширину, швидко переводити м’яч, створювати передачу на дальню стійку та не втрачати страховку від порожніх воріт.";"П’ятеро атакувальних розташовуються у структурі 1-2-2 або 2-1-2 проти чотирьох захисників. М’яч рухається по периметру, а центральний гравець змінює висоту. Гол після передачі на дальню стійку або скидки під удар зараховується подвійно.";"Повний майданчик, двоє воріт, м’ячі, манішки";"М’яч рухається швидше за блок; дальній гравець тримає ширину; центральний не закриває лінію передачі; один гравець страхує втрату; завершення виконується після реального зміщення захисту.";"Атака стоїть по периметру без руху; центральний гравець закриває простір; дальня стійка зайнята завчасно; немає страховки; команда форсує складний пас.";"Обмежити двома дотиками або дозволити захисту одразу бити по порожніх воротах після відбору.";"Грати без активного захисту, відпрацьовуючи два фіксовані варіанти завершення.";"Використовувати асиметричну структуру 2-2-1 з півотом на дальній стійці.";"4 блоки по 3 хвилини, 90 секунд паузи; інтенсивність 60–75%.";"U13–U14|U15–U17|Дорослі";"power_play|positional_attack|passing|decision_making";"5v4|воротар-літаючий|дальня стійка|чисельна перевага|страхування";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-009";"Захист 4v5: ромб і контроль передачі на дальню стійку";"tactical";"tactical";"numbers_down";"10";"18";"16";"advanced";"high";"large";"Командна модель захисту в меншості 4v5 у компактному ромбі. Захисники контролюють центральну передачу, скидку під удар і дальню стійку, не розкриваючи блок через несинхронний вихід.";"Четверо захисників формують ромб проти п’ятьох атакувальних. Ближній гравець тисне на м’яч, двоє бокових перекривають передачі всередину й на стійки, нижній захищає центр перед воротами. Після відбору команда намагається влучити в порожні ворота.";"Ворота, м’ячі, манішки, 6 фішок";"Ромб зміщується як єдине ціле; ближній гравець не провалюється; дальній боковий контролює стійку; нижній бачить м’яч і центрального гравця; після відбору перший погляд на порожні ворота.";"Двоє виходять на м’яч; дальня стійка залишається відкритою; нижній захисник опускається у ворота; блок не реагує на перевод; після відбору м’яч одразу втрачається.";"Скоротити захисту час на перебудову після переводу або дозволити атакувальним грати в один дотик.";"Атака працює в контрольованому темпі та не використовує швидкий зворотний перевод.";"Захищатися у квадраті 2-2 замість ромба й порівняти переваги двох структур.";"4 блоки по 3 хвилини, 2 хвилини відпочинку; інтенсивність 75–90%.";"U13–U14|U15–U17|Дорослі";"penalty_kill|team_defending|decision_making";"4v5|ромб|меншість|дальня стійка|порожні ворота";"";"active";"core";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
"TACT-010";"Повна тактична гра: зміна систем за сигналом тренера";"tactical";"game";"5v5";"10";"18";"18";"advanced";"variable";"full_court";"Підсумкова гра на свідоме перемикання між тактичними системами. Команди мають швидко переходити між 4-0, 3-1, високим пресингом, середнім блоком і грою з чисельною перевагою залежно від сигналу тренера.";"Грати 5v5 на повному майданчику. Тренер кожні 60–90 секунд подає один із сигналів: атака 4-0, атака 3-1, високий пресинг 1-2-1, середній блок 2-2, 5v4 або 4v5. Команди мають перебудуватися без зупинки гри. Після кожного блоку короткий розбір.";"Повний майданчик, двоє воріт, м’ячі, манішки, сигнальні картки або голосові команди";"Гравці знають стартові орієнтири кожної системи; перебудова відбувається через комунікацію; структура не важливіша за ігрову ситуацію; після зміни системи перша дія має бути безпечною; воротар керує командою.";"Команда зупиняється після сигналу; гравці пам’ятають лише позиції, але не принципи; двоє займають одну роль; немає голосової комунікації; перебудова руйнує баланс.";"Давати сигнали без зупинки та змінювати систему одразу після втрати або відбору м’яча.";"Працювати блоками по 3 хвилини з однією системою та паузою між змінами.";"Одна команда грає за заданою системою, інша самостійно обирає відповідну протидію.";"3 блоки по 5 хвилин, 2 хвилини відпочинку; інтенсивність змінна 65–85%.";"U13–U14|U15–U17|Дорослі";"positional_attack|pressing|team_defending|decision_making";"зміна систем|5v5|4-0|3-1|тактична гра";"";"active";"signature";"Futsal Exercise Library — Tactical Systems Content Pack v1.0"
