"code";"title";"category";"exercise_type";"player_format";"min_players";"max_players";"duration_minutes";"difficulty";"intensity";"field_size";"description";"organization";"equipment";"coaching_points";"common_mistakes";"progression";"regression";"alternative";"load_control";"age_groups";"goals";"tags";"external_video_url";"status";"library_tier";"source"
"WU-001";"Мобільність у парах з м’ячем";"warm_up";"technical";"full_team";"6";"18";"10";"easy";"low";"medium";"Поступова активація всього тіла через рухливість, коротке ведення та передачі в парах. Вправа готує гомілковостопні, колінні й тазостегнові суглоби до подальшої роботи з м’ячем без різкого підвищення інтенсивності.";"Розмістити пари у двох паралельних коридорах 15×8 м. Один гравець веде м’яч у повільному темпі, партнер виконує задану рухливість поруч; біля дальньої лінії вони передають м’яч і міняються ролями. Тренер змінює завдання кожні 45–60 секунд: рух стопи, випади, відкривання тазу, приставні кроки, легке прискорення.";"1 м’яч на пару, 8–12 фішок";"Нарощувати темп поступово; тримати корпус стабільним; виконувати рухи в контрольованій амплітуді; під час ведення регулярно піднімати голову; передавати м’яч у зручну ногу партнера.";"Старт із надто високою швидкістю; формальне виконання рухливості без контролю положення коліна; погляд постійно опущений на м’яч; передача зупиняє рух партнера.";"Останні дві хвилини виконувати передачу в один дотик після короткого прискорення та додати зміну напрямку за візуальним сигналом тренера.";"Скоротити коридор до 10 м, прибрати прискорення та дозволити зупинку м’яча перед передачею.";"Організувати роботу трійками: два гравці рухаються без м’яча, центральний веде й передає одному з партнерів за сигналом.";"5 блоків по 60–75 секунд без паузи, інтенсивність від 40% до 65%; між блоками 15 секунд на пояснення нового руху.";"U11–U12|U13–U14|U15–U17|Дорослі";"physical_preparation|ball_control|passing";"розминка|мобільність|пари|м’яч|поступова активація";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-002";"Кольорові ворота: ведення та сканування";"warm_up";"technical";"individual";"6";"16";"9";"easy";"medium";"medium";"Індивідуальна активація з м’ячем, орієнтацією у просторі та реакцією на зовнішній сигнал. Гравці багаторазово змінюють напрямок, ногу ведення і тип дотику, не втрачаючи контролю над оточенням.";"На площі 20×15 м створити 10–14 воріт із фішок чотирьох кольорів. Кожен гравець має м’яч і вільно рухається між воротами. Тренер називає колір або показує картку; гравець сканує простір, проходить відповідні ворота й одразу шукає наступну вільну зону.";"1 м’яч на гравця, фішки чотирьох кольорів, 4 кольорові картки";"Дотик має готувати наступну дію; дивитися вперед до отримання сигналу; використовувати обидві ноги й різні поверхні стопи; після воріт виконувати коротке прискорення у вільний простір.";"Очікування сигналу стоячи; вибір найближчих воріт без сканування; надто довгий дотик; рух лише провідною ногою; зіткнення через відсутність оцінки простору.";"Показувати два кольори: перший визначає ворота, другий — дію після проходу, наприклад розворот, зміна ноги або прискорення.";"Зменшити кількість кольорів до двох та дозволити виконувати завдання у повільному темпі без обмеження часу.";"Працювати в парах з одним м’ячем: гравець без м’яча першим знаходить ворота, партнер веде слідом і віддає передачу через них.";"3 серії по 2 хвилини, 30 секунд активного відпочинку; інтенсивність підвищувати від 55% до 75%.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"ball_control|decision_making|physical_preparation";"ведення|сканування|реакція|зміна напрямку|кольоровий сигнал";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-003";"Трикутник передач із відкриттям корпусу";"warm_up";"technical";"without_opposition";"6";"15";"10";"easy";"medium";"small";"Технічна розминка для першого дотику, відкритого положення корпусу та руху після передачі. Гравці вчаться приймати м’яч дальньою ногою й одразу готувати наступний пас.";"Створити трикутники зі сторонами 7–9 м, по 3–5 гравців у кожному. Передача виконується по периметру; після пасу гравець рухається за м’ячем. Приймаючий перед отриманням перевіряє плече, відкриває корпус і першим дотиком переводить м’яч у напрямку наступної передачі.";"1 м’яч на трикутник, 3 фішки на групу";"Сканувати до передачі партнера; приймати дальньою ногою; перший дотик — у рух, а не під себе; точний пас у темп; прискорюватися на перших двох кроках після передачі.";"Закритий корпус; прийом ближньою ногою; перший дотик зупиняє м’яч; передача в спину партнеру; рух за пасом починається із запізненням.";"Змінити напрямок руху, додати комбінацію «пас — зворотна передача — пас третьому» або обмежити зовнішніх гравців двома дотиками.";"Збільшити сторони трикутника до 10–12 м та дозволити окремий дотик для повної зупинки м’яча.";"Центральний гравець постійно відкривається між двома зовнішніми й грає з ними у стінку, після 60 секунд ролі змінюються.";"2 серії по 4 хвилини, між серіями 60 секунд; у другій серії темп передач підвищити, але зберегти технічну якість.";"U11–U12|U13–U14|U15–U17|Дорослі";"passing|ball_control|decision_making";"передачі|перший дотик|відкритий корпус|трикутник|рух після пасу";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-004";"Ромб: пас третьому гравцеві";"warm_up";"complex";"without_opposition";"8";"16";"11";"medium";"medium";"medium";"Комбінаційна розминка на передачу третьому гравцеві, синхронізацію руху та відкривання після пасу. Вправа вводить типові для футзалу взаємодії «стіна», «паралель» і зміна позицій.";"Побудувати ромб 12×8 м, по 2–4 гравці на кожній позиції. М’яч починає нижній гравець: пас у фланг, коротка зворотна передача, пас у верхню точку на хід третьому. Після кожної дії гравці переходять на наступну позицію за напрямком м’яча.";"1–2 м’ячі на ромб, 4 фішки";"Третій гравець стартує після першої передачі, а не раніше; зворотний пас виконується в один дотик; підтримувати діагональні кути передач; називати ім’я партнера; після пасу різко звільняти зону.";"Завчасний ривок третього гравця; усі передачі в ноги без урахування темпу; гравці залишаються на місці після пасу; дистанції ромба стають нерівними.";"Додати пас у протилежний фланг після фіктивного відкривання або дозволити верхньому гравцеві обрати продовження праворуч чи ліворуч.";"Прибрати зворотну передачу та виконувати просту послідовність по периметру з двома дотиками.";"Виконувати комбінацію у двох паралельних ромбах із переходом гравця в іншу групу після завершення атаки.";"3 серії по 3 хвилини, пауза 45 секунд; змінювати напрямок після кожної серії, інтенсивність 60–75%.";"U13–U14|U15–U17|Дорослі";"passing|positional_attack|decision_making";"ромб|третій гравець|комбінація|стіна|паралель";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-005";"Рондо 3v1 з миттєвим контрпресингом";"warm_up";"tactical";"3v1";"4";"16";"10";"medium";"variable";"small";"Компактне рондо, що поєднує якість короткої передачі з негайною реакцією після втрати. Основна мета — швидко перемкнутися з володіння на повернення м’яча, не перетворюючи розминку на тривалу високоінтенсивну боротьбу.";"У квадраті 7×7 м троє гравців зберігають м’яч проти одного захисника. Після перехоплення або виходу м’яча гравець, який помилився, одразу пресингує нового володаря протягом 3 секунд; решта створює близькі варіанти передачі. У великих групах організувати кілька квадратів.";"1 м’яч на групу, 4 фішки, запасні м’ячі поруч";"Позиція корпусу напіввідкрита; підтримувати два кути передачі; пас у дальню від захисника ногу; після втрати перший крок — до м’яча; інші гравці одразу скорочують відстань для підтримки.";"Гравці стоять на фішках; передача без попереднього сканування; захисник працює довго без ротації; після втрати гравець зупиняється або сперечається замість реакції.";"Обмежити гравців двома дотиками та нараховувати бонус за 8 послідовних передач або повернення м’яча протягом 3 секунд.";"Збільшити квадрат до 9×9 м, дозволити необмежені дотики та змінювати захисника через 30 секунд незалежно від помилки.";"Грати 4v1 у квадраті 8×8 м, якщо потрібно зменшити тиск і збільшити кількість успішних передач.";"4 серії по 90 секунд, пауза 45 секунд; захисник не працює безперервно довше 30 секунд, цільова інтенсивність 60–80%.";"U13–U14|U15–U17|Дорослі";"pressing|passing|ball_control|decision_making";"рондо|контрпресинг|реакція після втрати|3v1|коротка передача";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-006";"Напрямне володіння 3v2 через ворота";"warm_up";"technical";"3v2";"5";"15";"10";"hard";"variable";"small";"Напрямне володіння з чисельною перевагою 3v2, у якому атака завершується передачею через одні з двох малих воріт. Гравці тренують створення лінії передачі, зміну кута підтримки та вибір моменту для просування.";"У прямокутнику 10×7 м встановити по малих воротах на двох протилежних сторонах. Троє атакувальних зберігають м’яч проти двох захисників; після щонайменше двох передач вони можуть провести пас через будь-які ворота партнеру, який відкривається за лінію, після чого всі швидко перебудовуються.";"1 м’яч на групу, 8 фішок";"Не закривати обидва ворота одним положенням; гравець без м’яча змінює висоту й кут; перед просувальним пасом перевірити позицію захисника; підтримка після передачі має бути негайною.";"Гравці стоять в одній лінії; передача через ворота форсується без підготовки; приймаючий стартує занадто рано; після зміни напрямку команда повільно відновлює форму.";"Зараховувати очко лише після передачі через одні ворота та повернення м’яча через протилежні або обмежити володіння двома дотиками.";"Збільшити площу до 12×9 м, прибрати мінімальну кількість передач і розширити ворота до 2 м.";"Для молодших груп грати 3v1 або замінити ворота двома кінцевими зонами, у яких гравець приймає м’яч під контроль.";"4 серії по 90 секунд, пауза 45 секунд; захисників змінювати щосерії, інтенсивні відрізки обмежувати 4–6 секундами.";"U11–U12|U13–U14|U15–U17|Дорослі";"passing|playing_out_of_pressing|decision_making";"3v2|напрямок|ворота|підтримка|просування м’яча";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-007";"Позиційне рондо 4v2 у двох зонах";"warm_up";"tactical";"4v2";"6";"14";"12";"hard";"variable";"medium";"Позиційна розминка на вихід з-під локального тиску та швидке перенесення м’яча між двома зонами. Вправа активує командну структуру, сканування й передачі крізь лінію пресингу.";"Розділити прямокутник 16×9 м на дві рівні зони. Четверо гравців володіють м’ячем проти двох захисників, але в зоні з м’ячем одночасно можуть бути максимум троє атакувальних. Після трьох передач команда переводить м’яч у сусідню зону, куди швидко зміщуються партнери та захисники.";"1 м’яч, 10 фішок, манішки";"Створювати глибину й ширину до отримання м’яча; центральний гравець відкривається за спинами захисників; переводити м’яч у момент, коли пресинг зміщується; перший дотик — від тиску.";"Усі атакувальні збираються біля м’яча; переведення виконується без готової підтримки; центральний гравець ховається за захисником; після пасу в іншу зону команда не прискорює перебудову.";"Дозволити захисникам активно переходити між зонами лише після першого дотику приймаючого або обмежити зовнішніх гравців двома дотиками.";"Збільшити площу до 18×10 м та дозволити чотирьом атакувальним перебувати в зоні з м’ячем.";"Грати 5v2 з одним постійним центральним гравцем між зонами, який з’єднує переведення.";"4 серії по 2 хвилини, пауза 60 секунд; захисників змінювати щосерії, уникати безперервних спринтів понад 5–6 секунд.";"U13–U14|U15–U17|Дорослі";"playing_out_of_pressing|passing|positional_attack|decision_making";"позиційне рондо|4v2|дві зони|вихід з пресингу|переведення";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-008";"Володіння 2v2 + 2 нейтральні";"warm_up";"complex";"2v2";"6";"12";"11";"medium";"variable";"small";"Мале володіння з чисельною перевагою 4v2 завдяки двом нейтральним гравцям. Вправа розігріває через постійні короткі переміщення, орієнтацію корпусу та швидкий вибір між безпечною і вертикальною передачею.";"У квадраті 12×12 м грають дві команди по двоє та два нейтральні, які завжди підтримують команду з м’ячем. Після втрати ролі атаки й захисту змінюються без зупинки. Якщо гравців 12, створити два однакові майданчики.";"1 м’яч на майданчик, 4 фішки, манішки трьох кольорів";"Нейтральні не стоять у кутах, а коригують висоту; гравці відкривають корпус до центру; після передачі змінювати лінію підтримки; при втраті найближчий тисне, другий перекриває короткий пас.";"Нейтральні знаходяться на одній лінії; гравець із м’ячем робить зайві дотики; після втрати обидва захисники атакують м’яч; слабка комунікація під час зміни ролей.";"Обмежити нейтральних одним дотиком і зараховувати подвійне очко за передачу між двома суперниками.";"Збільшити квадрат до 14×14 м, дозволити нейтральним два-три дотики та ввести 3-секундний захист м’яча після прийому.";"Розмістити нейтральних за межами на протилежних сторонах, щоб створити чіткий напрямок атаки.";"4 серії по 2 хвилини, пауза 45 секунд; нейтральних змінювати після кожної серії, інтенсивність 65–80%.";"U13–U14|U15–U17|Дорослі";"decision_making|passing|ball_control|defensive_transition";"володіння|2v2|нейтральні|перехід ролей|малий простір";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-009";"Дзеркало 1v1 з реакцією на м’яч";"warm_up";"physical";"1v1";"4";"16";"9";"medium";"high";"small";"Коротка реактивна вправа для активації стоп, зміни напрямку та готовності до дуелі 1v1. Вона починається без контакту з м’ячем і завершується коротким змагальним епізодом.";"Пари стають обличчям одна до одної у коридорі 6×4 м, м’яч лежить на центральній лінії. Протягом 5 секунд ведучий виконує бокові та діагональні рухи, партнер повторює як дзеркало. За сигналом обидва реагують: названий колір визначає ворота, до яких треба першим провести м’яч.";"1 м’яч на пару, 6 фішок двох кольорів на коридор";"Низький центр ваги; короткі кроки без схрещування ніг; перший рух після сигналу вибуховий, але контрольований; захищати м’яч корпусом; зупиняти епізод через 4–5 секунд.";"Занадто довга серія до сигналу; прямі ноги й висока стійка; ранній нахил до м’яча; контакт плечем до початку дуелі; продовження боротьби після виходу з коридору.";"Дозволити ведучому зробити обманний рух до м’яча або після заволодіння вимагати завершити передачу в малі ворота.";"Забрати м’яч і завершувати епізод дотиком рукою до кольорової фішки; збільшити коридор до 8×5 м.";"Один гравець стартує спиною до м’яча та реагує на голосовий сигнал партнера, після чого вони змагаються за контроль.";"2 блоки по 5–6 повторень, робота 8–10 секунд, відпочинок 25–35 секунд; між блоками 90 секунд.";"U8–U10|U11–U12|U13–U14|U15–U17|Дорослі";"individual_defending|ball_control|physical_preparation|decision_making";"1v1|реакція|дзеркало|зміна напрямку|активація стоп";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
"WU-010";"Хвилі 3v2 з поверненням у захист";"warm_up";"complex";"3v2";"5";"15";"12";"hard";"high";"full_court";"Динамічна кінцева частина розминки на перехід 3v2, підтримку атаки та негайне повернення після завершення. Короткі хвилі готують гравців до ігрової швидкості без довгих безперервних відрізків.";"Троє атакувальних починають від одних воріт проти двох захисників і завершують атаку на протилежні. Після удару або втрати два гравці з атакувальної трійки залишаються захищатися, а нова трійка стартує у зворотному напрямку. Тренер подає запасний м’яч, якщо епізод завершується занадто швидко.";"Повний майданчик, 2 ворота, 6–10 м’ячів, манішки";"Перший пас і перші кроки мають просувати атаку; гравець із м’ячем фіксує одного захисника; ширина двох партнерів різна; після завершення миттєво визначити, хто повертається; захисники затримують атаку, не кидаючись удвох на м’яч.";"Усі троє біжать однією лінією; передача виконується раніше, ніж захисник зафіксований; атака затягується; після удару гравці вимикаються; захисники не комунікують, хто тисне.";"Обмежити атаку 6 секундами або дозволити воротарю швидко вводити м’яч для наступної хвилі.";"Починати атаку з середньої лінії, дозволити 8–10 секунд і розмістити захисників глибше.";"Проводити хвилі 2v1 для молодших груп або 4v3 для команди з більшим складом.";"6–10 хвиль на гравця; один епізод не довше 8 секунд, відновлення 35–50 секунд між стартами; завершити вправу до помітного падіння швидкості рішень.";"U15–U17|Дорослі";"attacking_transition|defensive_transition|finishing|decision_making";"3v2|перехід|хвилі|повернення в захист|ігрова швидкість";"";"active";"core";"Futsal Exercise Library — Warm-up Content Pack v1.0"
